-,2021,2022,2023,
Amadora,10087,1811,1287,
Cascais,7609,1731,874,
Lisboa,23525,3844,2129,
Loures,9706,1398,890,
Mafra,2939,477,159,
Odivelas,6068,1271,794,
Oeiras,7736,1160,683,
Sintra,16314,2828,1366,
VilaFrancaDeXira,5671,1080,667,
Alcochete,667,111,95,
Almada,8959,1239,1207,
Barreiro,3717,1128,508,
Moita,2685,747,381,
Montijo,2669,429,365,
Palmela,2176,302,175,
Seixal,5369,921,858,
Sesimbra,1382,302,159,
Setubal,5703,810,858,
