-,2021Q1,
Amadora,281,
Cascais,176,
Lisboa,532,
Loures,255,
Mafra,89,
Odivelas,161,
Oeiras,170,
Sintra,557,
VilaFrancaDeXira,208,
Alcochete,13,
Almada,283,
Barreiro,133,
Moita,105,
Montijo,70,
Palmela,89,
Seixal,221,
Sesimbra,46,
Setubal,170,
