-,2021,2022,2023,
Amadora,18268,1541,635,
Cascais,14582,842,524,
Lisboa,55946,1906,1048,
Loures,16266,1541,953,
Mafra,4940,540,318,
Odivelas,11342,1763,445,
Oeiras,12184,905,540,
Sintra,26766,2351,1207,
VilaFrancaDeXira,8975,921,445,
Alcochete,1255,175,48,
Almada,16107,1843,508,
Barreiro,6783,238,222,
Moita,5226,429,286,
Montijo,4241,254,64,
Palmela,3320,302,302,
Seixal,8546,826,222,
Sesimbra,2446,191,79,
Setubal,8943,715,95,
