-,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,
Amadora,8.30679341349631,8.149334516429409,8.156607276190796,7.966937686416363,8.106980565856766,8.648141581865687,
Cascais,11.061235376707234,10.742288734370904,9.420582471946958,11.616553536820472,9.744837719971208,9.564342633430236,
Lisboa,11.060248253840655,10.919649487877294,10.403811125945468,10.327293871208067,11.088462361597253,12.387542426814967,
Loures,7.357041205313335,7.449659511016065,6.95006377187794,7.0495346361940445,7.840279345380247,7.286171056014457,
Mafra,6.432568111883972,6.8770400437853105,5.779587528346724,6.712482037006292,8.13395702048576,4.854173804944501,
Odivelas,8.214015235799028,7.990750591007195,7.463966932486937,7.33810029776376,8.197738072793861,7.2208812256631685,
Oeiras,9.509807501082037,9.396016092396511,8.887031764482114,8.388277513681496,8.864816451461891,11.370432260220493,
Sintra,6.907128278766415,6.8441959658860485,7.6169652559228815,6.392855975705071,6.535848558990235,6.953599772233653,
VilaFrancaDeXira,6.559524927497927,6.2038285844901,6.27234666610638,6.6382875358639755,6.188939693639189,7.992289149038236,
Alcochete,6.781626104695155,5.893458744989228,5.42823619219631,6.189585746095323,8.449165541554603,4.708511706331408,
Almada,8.501761219778501,8.476050470520734,7.8892513507163,7.8664215227879595,8.093584056030041,7.395959922788303,
Barreiro,6.983870506858699,6.630420224950027,6.75266958198196,5.480380964592276,7.322886946009716,7.772064266339035,
Moita,5.823127204845147,5.861435640657783,5.217594097533285,7.925605377113083,5.189404620861423,7.677994243982058,
Montijo,6.379229710221026,6.398362943113235,5.821919526544869,6.462744613770155,5.551886110605825,9.058743375519313,
Palmela,5.925688657796162,5.943438340342766,4.918952824893731,6.0266703216009,7.876863048961432,5.509162064293823,
Seixal,6.656625984502088,6.499710874514639,7.136861936997393,6.846106537678707,6.455393548999437,7.376722292095165,
Sesimbra,5.506857979360452,6.186372374364511,6.287742350322216,5.538041625333055,8.044034575014694,6.9711017443619365,
Setubal,6.2999624946236565,6.898964347614518,6.046681406838055,7.799745951493953,5.1246120139040805,0,
