Step,Birth Rate,Mortality Rate,Divorces,
1,0.0,0.0,0.0,
2,0.7993605115907274,0.19984012789768185,0.0,
3,0.5995203836930455,0.9992006394884093,0.0,
4,0.3991219317501497,0.0,0.0,
5,0.0,0.19936204146730463,0.0,
6,0.7971303308090874,0.5978477481068154,0.0,
7,0.39816842524387813,0.0,0.19908421262193907,
8,0.39769337840524954,0.5965400676078744,0.19884668920262477,
9,0.7955449482895784,0.3977724741447892,0.0,
10,0.19860973187686196,0.0,0.19860973187686196,
11,0.3969041476483429,0.7938082952966858,0.19845207382417146,
12,0.19817677368212447,0.39635354736424894,0.39635354736424894,
13,0.19817677368212447,0.5945303210463733,0.0,
14,0.19805902158843336,0.3961180431768667,0.19805902158843336,
15,0.19770660340055357,0.39541320680110714,0.19770660340055357,
16,0.39533504645186796,0.9883376161296697,0.0,
17,0.1976284584980237,0.7905138339920948,0.0,
18,0.19758940920766646,0.9879470460383323,0.0,
19,0.0,0.5928853754940712,0.0,
20,0.19747235387045814,0.19747235387045814,0.19747235387045814,
21,0.7900454276120877,0.7900454276120877,0.0,
22,0.0,0.5921831819976313,0.0,
23,0.0,0.39439952672056794,0.0,
24,0.0,0.19708316909735907,0.0,
25,0.5903187721369539,0.1967729240456513,0.3935458480913026,
26,0.3935458480913026,1.1806375442739079,0.0,
27,0.19665683382497542,0.5899705014749262,0.0,
28,0.0,1.574493209998032,0.196811651249754,
29,0.19661816751867872,0.7864726700747149,0.19661816751867872,
30,0.5895067793279622,0.5895067793279622,0.0,
31,0.0,0.1963864886095837,0.1963864886095837,
