-,2021Q1,
Amadora,9.26672377504594,
Cascais,11.537943052507401,
Lisboa,12.445405751385959,
Loures,8.183472594275115,
Mafra,7.105824000000001,
Odivelas,8.885385320070228,
Oeiras,8.051027585494433,
Sintra,8.055408661982991,
VilaFrancaDeXira,7.825540134130616,
Alcochete,9.042876626223176,
Almada,8.942739707927124,
Barreiro,7.488616838196409,
Moita,6.826243816251733,
Montijo,6.886490184230034,
Palmela,6.720725591725692,
Seixal,7.457916774971819,
Sesimbra,5.4409197903598745,
Setubal,7.053885352125485,
