-,2021Q1,
Amadora,9,
Cascais,4,
Lisboa,7,
Loures,4,
Mafra,3,
Odivelas,4,
Oeiras,1,
Sintra,23,
VilaFrancaDeXira,5,
Alcochete,1,
Almada,6,
Barreiro,1,
Moita,3,
Montijo,4,
Palmela,0,
Seixal,4,
Sesimbra,3,
Setubal,3,
