-,2021Q1,
Amadora,2553,
Cascais,3194,
Lisboa,3216,
Loures,2493,
Mafra,1885,
Odivelas,2703,
Oeiras,3458,
Sintra,1659,
VilaFrancaDeXira,1995,
Alcochete,2029,
Almada,2120,
Barreiro,1620,
Moita,1103,
Montijo,1700,
Palmela,1085,
Seixal,2093,
Sesimbra,1847,
Setubal,1633,
