-;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;
Amadora;3817.1873375451023;3009.166589497989;2762.150431986586;2921.8715623074104;2940.093424093624;
Cascais;4446.0476246731305;2612.0449079999994;4980.875428495717;5238.938804612701;5834.801466088865;
Lisboa;3500.9756018512953;3212.7775806394743;3408.4470488573415;3728.809118533839;3900.151095459186;
Loures;3213.536963598219;1696.4724201385586;1643.0797742378825;1629.1160809506882;1524.2910027798216;
Mafra;2969.6319945493015;3419.034979282034;2985.5539282468094;3112.9780978361764;1426.2738390341349;
Odivelas;3054.4153160408405;3169.1953430441667;3144.624844661799;3122.883128495579;2963.4632924777065;
Oeiras;3541.90423542594;6009.956499446289;2382.2284366649715;9451.624987027522;2224.91556183291;
Sintra;4414.687154513044;4540.800520076586;5084.525631299522;5639.142578801558;6144.205759996085;
VilaFrancaDeXira;1894.9188327577413;1944.4295311332871;1604.8973186211124;1534.5295716018732;1524.3184705306871;
Alcochete;2451.898168976573;3128.539659726391;0;7450.347279768162;0;
Almada;2917.1526837912606;1718.1153000000002;2945.8024438509956;1617.5714493321434;1561.6803199169522;
Barreiro;3321.5930501721105;3822.086425358273;4019.149945026299;2406.1823148636695;2399.4801835393737;
Moita;1830.0506264964633;971.923819759786;929.2838642444294;908.9035240115012;881.9081804448357;
Montijo;1981.6580045150984;1336.8564;1391.8003768017893;1393.3445199672562;1427.3139682347448;
Palmela;1996.4636210089145;2183.889581093824;2040.9377076073167;2195.6821594372227;2159.385712027112;
Seixal;2808.599291447339;1945.9329236566605;2877.89364622363;6430.259604705362;5791.091674581623;
Sesimbra;2409.8651172140962;1540.5802310041609;1494.0053683929002;1548.5541194817247;1609.3286860701662;
Setubal;2205.963054625486;2111.4102526274874;1875.9856994356746;1790.2248606792032;1812.8776041790056;
