-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,2206,1992,2130,2197,2361,1551,1640,1931,2157,2577,1913,1965,
Cascais,3097,3044,2994,2788,2639,3125,2782,2822,3166,2615,2761,2870,
Lisboa,3760,3583,3692,4178,3874,3523,3512,3890,3957,3294,3533,3769,
Loures,2317,2190,2172,2012,1803,1790,1901,2477,2306,2402,2236,2237,
Mafra,1891,1750,1713,2394,1511,1938,2057,2285,2920,1498,1175,2496,
Odivelas,2347,2332,2409,2236,2351,2280,2512,2775,2785,1957,2375,2192,
Oeiras,3044,2922,2676,2798,2303,3052,3054,2648,3258,2510,3366,3415,
Sintra,1823,1909,1902,1662,1757,1711,1766,1709,1894,2047,2297,2075,
VilaFrancaDeXira,1869,1641,2036,1703,2333,1685,1890,1738,2129,1416,2211,1929,
Alcochete,1813,1635,1891,1463,2209,2135,1885,2366,2410,2561,1514,1224,
Almada,2258,1955,2072,2083,2094,2329,1950,2215,1993,2344,2529,2338,
Barreiro,1622,1090,1501,1362,1117,1184,0,2053,0,1605,2168,1814,
Moita,1403,958,1221,1109,2094,1849,1338,2160,1343,1660,2078,1130,
Montijo,1733,1481,1487,2114,2033,2610,1793,1473,2159,2045,2081,1503,
Palmela,1482,1335,1141,1600,1513,1613,2301,2898,2270,2068,2589,2213,
Seixal,1773,1747,1767,2163,2091,1905,2178,2090,2303,2650,2207,2398,
Sesimbra,1846,1500,1413,1239,1774,2021,1409,1153,1653,2142,2000,2240,
Setubal,1820,1744,2130,2409,1588,1636,1880,1874,1982,2078,2530,2209,
