-;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;
Amadora;6118.414036397101;15275.04687970875;15295.384512412838;15338.06140256352;15278.596656569172;
Cascais;8881.144241030117;3059.2093262059097;5608.932152722155;4138.3575400503605;4049.3141270571045;
Lisboa;8882.258187728308;41544.8108483428;75316.25327016051;85498.6807776421;87138.95906547771;
Loures;8265.9320028594;45105.1674400912;10227.343144555867;58691.95080528315;57907.474190819725;
Mafra;9253.994899307218;26149.387470950165;54580.086593500535;28600.540852576825;53069.813388464776;
Odivelas;7022.601553453249;42246.813942606925;74326.57540984408;91339.06335554496;94996.33943327118;
Oeiras;3238.7373821598667;5869.153297325352;11525.175186313088;54515.77843126611;10711.865323368766;
Sintra;15243.772183943074;85704.76950751837;171645.52993159796;181492.54638296925;191305.86596674257;
VilaFrancaDeXira;11792.485228977117;41856.61746587746;62638.72878905767;63731.35020010019;65535.691244936024;
Alcochete;4499.477723556327;5116.042422149174;5044.438451606845;6234.479993841142;6088.549411030986;
Almada;3814.3514876412846;6434.768842898609;7288.7620266918175;12107.42808577108;7223.20589424456;
Barreiro;4264.978175703261;6154.600087512461;6835.976670283648;7047.117055515308;7181.712073044498;
Moita;7489.048216862062;20581.696371583297;15896.04508228319;12069.097980386052;45127.7790305516;
Montijo;6685.43638432221;18927.758318712808;27424.491571932675;27150.24665621335;26454.02240121286;
Palmela;4519.669384718996;32332.020578479158;35156.90583529686;13287.058212343374;35792.43402533192;
Seixal;9664.380089260161;68472.07668271328;112880.33794791256;108717.31046132024;91861.71248410159;
Sesimbra;11594.373484658403;45259.48055232848;47796.77104154818;17718.16527197157;17906.748234637354;
Setubal;14628.728115521786;60624.12525133184;99261.91111305372;53750.8197535986;87002.92682344487;
