-,2021Q1,2021Q2,2021Q3,2021Q4,
Amadora,10.324795747995827,10.540550675675677,9.224450783282062,7.687975374844516,
Cascais,11.727534569760362,12.295354114826782,10.881013252699802,9.413743817649964,
Lisboa,13.46019950845686,15.311078965007631,14.435381783740906,14.241571304551446,
Loures,9.31655427649771,9.398257665479083,8.254405127953582,6.60463470189006,
Mafra,8.765435151440846,8.385666290790049,6.49104488775059,4.606038170218271,
Odivelas,9.012479005652608,9.22076766758139,8.933676931192204,6.838285839793393,
Oeiras,11.274595154097954,11.881075121732167,9.71012018763892,10.2666540540582,
Sintra,8.701644547186417,8.892220494692843,6.75055812442289,5.775807959754158,
VilaFrancaDeXira,7.945568001441749,7.69759629344533,6.241343258226881,5.840405785619138,
Alcochete,7.275413815640832,8.528623897460847,5.237125176769597,4.987399840002588,
Almada,9.70264779986629,10.141198771053057,9.310458742301352,7.309532575829792,
Barreiro,8.187646699807438,7.149793213418276,5.8671552231537945,6.2732216637804825,
Moita,6.6733016447583235,6.37755231878696,6.601593646401868,4.513340536759827,
Montijo,7.318712886299534,7.311865146521328,7.166964046913481,4.7174151122250905,
Palmela,7.337956448721336,6.341785827338129,4.7389798521057696,4.858507742049727,
Seixal,7.759115976816037,7.454536494923785,5.765725202335071,5.749413751304845,
Sesimbra,6.414043295507155,5.93539421468446,5.873433734555666,5.108656768138139,
Setubal,7.815625086065886,7.582906539984265,7.269678823387983,5.691336734551325,
