-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,1857,2079,2018,1953,2001,2146,2368,2336,2450,2342,2373,2349,
Cascais,2648,2767,2908,2884,2813,3017,2996,2958,3040,3120,3035,3101,
Lisboa,3330,3579,3799,3769,3687,3932,3881,4037,4513,4549,4705,4589,
Loures,1988,2051,2143,2150,2078,2107,2408,2556,2488,2252,2370,2298,
Mafra,1749,1693,1883,2164,2185,2448,2296,2493,2426,2431,2549,2321,
Odivelas,2145,2248,2209,2271,2362,2483,2453,2645,2540,2597,2624,2714,
Oeiras,2489,2583,2617,2608,2672,2719,2851,3081,2998,3058,3152,2992,
Sintra,1549,1860,1607,1776,1917,2287,2208,2367,2577,2498,2523,2695,
VilaFrancaDeXira,1544,1623,1506,1611,1641,1729,1804,1889,1994,2026,2094,2222,
Alcochete,1722,1787,1997,1908,2007,2165,2369,2201,2237,2100,2354,2279,
Almada,1907,2138,2191,2269,2287,2430,2413,2381,2690,2576,2671,2719,
Barreiro,1277,1394,1381,1442,1483,1316,1529,1722,1820,1719,1785,1806,
Moita,1099,1046,1074,1013,1109,1194,1348,1365,1234,1343,1382,1416,
Montijo,1508,1635,1745,1931,2327,2225,2193,2052,2048,2226,2123,2429,
Palmela,1350,1262,1714,1980,1997,2225,2067,2255,2354,2420,2507,2658,
Seixal,1510,1643,1868,2277,2331,2587,2529,2608,2599,2647,2633,2747,
Sesimbra,1455,1661,1529,1637,1586,2107,2087,2062,2027,2148,2025,2155,
Setubal,1471,1706,1598,1779,1756,1982,2128,2140,2114,2214,2173,2283,
