Year,Birth Rate,Mortality Rate,Divorces,
2021,13.678325413452313,15.719738752045027,2.174734082310878,
2022,13.448970976290656,15.838972747122456,1.8102934153360413,
2023,13.277913412589934,16.226938849335962,1.8467191911129777,
2024,12.662678033319212,17.978615638436274,1.6745368447406617,
2025,12.028764525447258,18.759062567625744,1.8772859578473646,
2026,11.349823241004364,18.424579444527197,1.6859217995234403,
2027,11.746065832263836,19.484544789052222,1.7139213207782786,
2028,10.50677937136207,20.06139482349821,1.8933031897091672,
2029,10.56137429917077,20.79892219330418,1.845574394820277,
2030,9.950850808427678,21.499071426021086,1.9450849747197219,
