-,2021,2022,2023,
Amadora,12311,2383,1350,
Cascais,8864,2891,1128,
Lisboa,24208,4035,2272,
Loures,10722,1906,969,
Mafra,2780,699,461,
Odivelas,6783,1700,699,
Oeiras,7577,1795,842,
Sintra,16711,4098,2367,
VilaFrancaDeXira,5591,1763,715,
Alcochete,620,270,175,
Almada,9864,2256,1033,
Barreiro,4559,1112,890,
Moita,3526,1064,620,
Montijo,2272,747,349,
Palmela,1779,858,429,
Seixal,4908,1557,1064,
Sesimbra,1573,492,175,
Setubal,5591,1271,890,
