-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,337,196,137,105,46,50,22,32,25,17,16,27,
Cascais,196,165,113,84,66,54,33,29,25,23,10,13,
Lisboa,808,363,213,140,96,57,55,46,38,27,53,25,
Loures,296,193,113,73,47,31,25,17,16,20,14,11,
Mafra,74,47,31,23,18,9,9,8,11,12,4,2,
Odivelas,162,125,93,47,32,25,30,20,9,15,10,10,
Oeiras,204,130,86,57,35,32,27,19,16,15,9,13,
Sintra,470,308,170,104,80,68,61,49,36,45,41,27,
VilaFrancaDeXira,150,114,50,38,43,23,29,16,12,17,7,9,
Alcochete,12,7,9,11,7,4,3,3,6,4,0,1,
Almada,277,165,120,59,51,32,29,30,24,16,12,13,
Barreiro,135,78,44,30,17,20,19,14,22,18,12,4,
Moita,102,51,33,36,20,16,19,12,11,15,5,8,
Montijo,64,32,27,20,17,18,6,6,5,4,6,7,
Palmela,40,33,23,16,17,16,12,9,11,6,5,5,
Seixal,116,92,60,41,26,31,23,18,23,17,6,21,
Sesimbra,35,33,14,17,9,11,5,6,1,4,3,3,
Setubal,169,96,52,35,27,15,20,18,12,10,22,12,
