-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,9.956559245400056,9.35179314318221,9.01135371429172,7.62235973740141,7.247157444092837,6.674924634508129,6.214655035012946,6.1216159776205155,5.52678179024954,8.806945335257218,9.22135072220322,4.904689827472233,
Cascais,11.369352816426314,10.843658812014118,9.832716513463293,9.365176624480917,13.432660832621549,11.655276861505868,10.074965942797435,8.747868128559812,9.065709291803628,8.805926460296492,8.216432333192937,15.307972068452383,
Lisboa,11.686686087750648,9.699357163231578,9.236207283126202,9.561107731232067,12.02946227253452,8.480482355572983,11.473843141790175,11.732358194586148,14.331730132084497,13.467409981469473,17.635991532460213,22.349178242413295,
Loures,9.185373113600972,8.292659897279409,7.556009463204727,6.02782461818158,5.516424442884821,5.491934836433231,5.278385511443315,5.963066021900987,4.760855055635288,4.871276142521653,6.231883719727325,8.040333611374184,
Mafra,7.3102362086352235,6.393444310234655,6.958348870433473,5.19893959067817,6.092702371111705,5.098939773039047,4.481615480567474,5.191745678038355,5.918604604710681,8.713834910300267,3.753303598987075,9.063858548899553,
Odivelas,9.440482804022462,8.277081848788432,8.341858310282246,7.806031282483832,6.350217873352101,6.135662675782956,6.1623936707905,6.879921237556749,6.092996548011768,11.01056619635045,12.029871177631595,8.47757306002837,
Oeiras,10.921552528965858,10.249056075153756,10.115064535952964,8.44334312295723,7.478119215372702,8.61368931987499,8.326996804670284,6.870618064515312,9.695070557892354,9.02392125794797,8.71712015453968,11.977331276644115,
Sintra,8.11305367137296,7.435868888636481,7.1980283903476225,6.055740511726043,5.600852225302271,5.522530069590998,5.2119419426071385,4.653269741486087,4.8377919905871085,4.916059247339153,4.470317303612478,3.9134064982980927,
VilaFrancaDeXira,7.725337108786897,7.05289294672479,7.051070261642112,6.4357528563311845,5.834797813071471,4.955860598740382,4.646463027219982,4.777551328372508,4.875119639135382,4.1865654254840186,3.8774722708808658,4.543773616577682,
Alcochete,8.138407340763933,7.358345086281511,5.883648533950617,6.328085044112737,6.387623384827703,4.004152747012035,4.505270466716249,10.22718074413894,9.628275452560342,5.596878284557688,0,7.2029686524608,
Almada,9.718800831172226,8.522798677951284,7.826667467908205,7.160733767474049,6.970206069360099,6.753136748222966,6.23436542375836,5.683880133428934,6.61609194049768,6.473497987878701,4.735706744894131,4.985865064753452,
Barreiro,7.603405330165118,6.966405761486649,6.768476044942508,6.2012611604424706,5.792316299327148,5.279154607038176,5.398298957488683,5.2653454843401875,4.806659688825969,4.746760365929427,8.081610639866451,5.248348035205048,
Moita,6.6011306634428255,6.020901856347124,6.056812248534638,5.380405789227316,5.092550393332289,4.537894171332921,4.3132529675846065,4.229245227015598,3.9629186417569064,4.030935478988618,3.564972282147964,3.14048640135771,
Montijo,6.7521630845138905,6.380779228714218,6.738614527006087,6.069405421360919,4.850408817477889,5.2561127786236295,4.3643546828569715,4.289139769211296,6.929441372724011,3.5594234547404318,8.179097929368362,10.197536760963208,
Palmela,5.798570219758945,6.833061149275459,6.4935658675507115,4.9923425195784095,5.046409320966618,5.04945687969774,4.220635957225125,3.872875030210164,4.4983887317660765,4.538932442612153,9.384207496720554,5.535936408556059,
Seixal,7.7095578329296055,6.870296055247018,6.5588245853519105,5.973863773171167,5.548231922119273,5.4436557942100805,4.9311883562576835,4.878780592044881,5.110667402673174,4.200541485666549,10.41614235611931,8.200390959455074,
Sesimbra,7.317730935184248,7.015248920457579,6.114439576131712,5.328684135286194,5.187554134426952,4.661175762866344,6.4222155768613165,4.232842651938273,3.8346942491824083,7.356239397740721,10.213352227569185,7.342556724888927,
Setubal,7.467526791756764,6.022144592954886,7.261803770130999,6.311241010826064,5.960967980275787,4.733936207818852,4.733426957288517,4.40308014770898,4.475235547934085,4.141770024759578,6.534441287485114,3.3899325212392366,
