-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,1940,1674,1711,1677,1919,1502,1787,1950,2531,1753,1843,1971,
Cascais,2655,2664,2864,2925,2847,2709,2998,2367,2768,2582,3158,2056,
Lisboa,3369,3114,3186,3000,2991,2797,3417,3430,3995,3666,3898,4572,
Loures,2090,1986,1971,1912,1636,1793,1940,2290,1648,1665,2076,2163,
Mafra,1667,1792,1767,1940,1678,1448,1575,1946,2496,2597,2906,2885,
Odivelas,2199,1946,2136,2157,2076,1674,1750,1996,1423,1886,2565,2712,
Oeiras,2549,2547,2490,2542,2227,2301,2192,2539,2574,2211,2862,2655,
Sintra,1555,1487,1512,1310,1257,1249,1350,1357,1811,1528,1889,1588,
VilaFrancaDeXira,1561,1597,1641,1516,1654,1385,1176,1220,1782,1406,1808,1983,
Alcochete,1857,1287,1363,2308,1953,1685,2410,2272,2315,2573,2082,2335,
Almada,2015,1799,1915,1986,1743,1856,1752,1981,2089,1475,2191,2230,
Barreiro,1420,1142,1405,1174,1043,1405,1483,1389,1103,1690,1804,1089,
Moita,1066,1025,1337,877,932,1254,1345,681,1086,1292,1903,1789,
Montijo,1420,1326,1438,1384,1403,1367,2100,2574,1834,2142,1217,2337,
Palmela,1318,1211,1091,1293,1038,1131,1667,1315,2823,2317,2564,1585,
Seixal,1487,1515,1713,2007,1758,1742,1695,2198,2118,2125,2204,2147,
Sesimbra,1602,1618,1598,1738,1333,1272,1615,1611,1857,1887,2090,2513,
Setubal,1410,1280,1412,1569,1339,1853,1887,1130,1023,2280,1933,1969,
