-,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,
Amadora,9.697640040340161,8.357787442419633,7.180681772823297,6.180601543653578,5.827914889886055,5.812526332539151,
Cascais,11.166801857515916,9.642266144263342,12.099753460235991,8.964919572101897,8.93581787605006,12.247213110632181,
Lisboa,11.160206273504398,9.412816095246995,9.602662755074233,11.473843141790175,13.550893880376927,18.450085387286745,
Loures,8.864930916104687,6.966426442248023,5.508360405557715,5.412559722749084,4.760855055635288,7.356779138743997,
Mafra,6.954333447888543,6.218319817644542,5.634051279299946,4.8099043153335,7.211292072130934,3.753303598987075,
Odivelas,9.137931712962963,8.089789835501598,6.280298810754615,6.737041907733343,7.340848034590106,11.147348947627682,
Oeiras,10.788700279558153,9.105331730769231,8.147150583182167,7.638881355705195,9.133084580900473,10.888642635142919,
Sintra,7.912759658437675,6.64151582393893,5.541382391432462,4.88086282889369,4.891848126683066,4.174049872876327,
VilaFrancaDeXira,7.527193460132733,6.78121337830998,5.486351186587372,4.658045144996821,4.312283583079781,4.187518160109995,
Alcochete,7.88021145721769,6.121784808884559,5.573805377685476,7.751841616471815,8.306542150768548,7.2029686524608,
Almada,9.393327354206669,7.659639960120816,6.857010759002389,5.95934058487313,6.473497987878701,4.76471569304407,
Barreiro,7.410462657583266,6.424065176632737,5.481613312322612,5.345645663324212,4.7719751927127,6.34646675727924,
Moita,6.395486010070649,5.72131571052388,4.817767241381125,4.299417863573921,3.970487960108666,3.2544812570025776,
Montijo,6.728282872766598,6.487093090717301,4.911589336738806,4.3643546828569715,6.368572838318215,8.41261128651994,
Palmela,6.164689332036605,5.529021990740741,5.046409320966618,4.039712919140016,4.4983887317660765,7.6499754667125455,
Seixal,7.331460448920238,6.253536179666112,5.463666888392183,4.918576431420177,4.965658182676585,9.851323215292917,
Sesimbra,7.209143992448957,5.640081004396219,4.7000161389358235,4.586301913225088,5.933297689622402,8.616139820777796,
Setubal,7.103686951964101,6.603500276526693,5.153284488570357,4.668871924263467,4.397415435422708,4.278269900310132,
