-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2,2026Q3,2026Q4,2027Q1,2027Q2,2027Q3,2027Q4,2028Q1,2028Q2,2028Q3,2028Q4,2029Q1,2029Q2,2029Q3,2029Q4,2030Q1,2030Q2,2030Q3,2030Q4,
Amadora,330.0,365.0,355.0,355.0,340.0,385.0,280.0,320.0,375.0,320.0,375.0,330.0,335.0,335.0,410.0,305.0,380.0,260.0,350.0,310.0,275.0,235.0,275.0,450.0,410.0,315.0,390.0,340.0,325.0,365.0,420.0,330.0,350.0,415.0,350.0,420.0,370.0,465.0,510.0,445.0,
Cascais,300,152,168,380,216,260,376,260,244,288,332,308,312,396,440,404,392,432,452,504,428,428,284,336,336,416,264,316,308,368,388,336,292,312,324,316,344,448,420,280,
Oeiras,204,200,172,132,120,184,152,172,124,124,168,184,148,148,168,244,144,208,240,216,188,280,216,268,268,328,244,204,264,216,196,192,240,216,228,232,196,204,216,244,
Odivelas,175.00000000000003,130.0,150.0,260.0,235.00000000000003,225.00000000000003,220.00000000000003,265.0,300.0,245.00000000000003,295.0,255.00000000000003,380.00000000000006,235.00000000000003,285.0,325.0,395.00000000000006,295.0,385.00000000000006,320.0,370.00000000000006,295.0,370.00000000000006,300.0,290.0,220.00000000000003,350.00000000000006,270.0,370.00000000000006,325.0,340.0,455.00000000000006,320.0,390.00000000000006,395.00000000000006,450.00000000000006,330.0,345.00000000000006,295.0,340.0,
Setubal,240.00000000000003,195.00000000000003,190.00000000000003,130.0,135.0,170.0,85.0,105.00000000000001,130.0,90.00000000000001,130.0,115.00000000000001,110.00000000000001,185.00000000000003,75.0,110.00000000000001,125.00000000000001,130.0,150.0,90.00000000000001,120.00000000000001,90.00000000000001,155.0,140.0,115.00000000000001,120.00000000000001,155.0,195.00000000000003,120.00000000000001,155.0,160.0,170.0,250.00000000000003,195.00000000000003,215.00000000000003,210.00000000000003,315.0,410.00000000000006,320.0,315.0,
