-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2,2026Q3,2026Q4,2027Q1,2027Q2,2027Q3,2027Q4,2028Q1,2028Q2,2028Q3,2028Q4,2029Q1,2029Q2,2029Q3,2029Q4,2030Q1,2030Q2,2030Q3,2030Q4,
Cascais,2430,2391,2492,2489,2525,2563,2595,2508,2758,2803,2787,2739,2922,2836,2757,2837,2833,2779,2831,2700,2872,2901,2768,3002,2874,2931,2926,3026,2803,3008,2740,2885,2921,2866,2907,2718,3120,2799,2518,3385,
Odivelas,1893,1888,1827,1837,1894,1914,1913,2070,1902,1873,1858,2003,2051,1948,2085,2010,1998,2007,2166,2349,2067,2102,2055,2325,2193,1990,2145,2135,2134,2110,2220,2376,2208,2455,2287,2250,2205,2056,2252,2263,
Setubal,1312,1380,1440,1542,1562,1487,1577,1634,1692,1518,1600,1516,1521,1687,1614,1522,1603,1865,1701,1624,1666,1854,1716,1881,1672,1851,1727,1791,1777,1635,1603,1753,1797,1712,1805,1700,1770,1822,1820,1834,
