-,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,
Amadora,1508,1563,1601,1742,2722,2906,2675,2671,2709,2762,
Cascais,2225,2624,2559,3108,4154,4177,4065,3958,4131,3964,
Oeiras,2147,2407,2292,3210,3515,3766,3746,3782,3889,3927,
Odivelas,1786,1729,1621,1675,2123,2956,2959,2801,2775,2790,
Setubal,1114,1394,1482,1899,2205,2335,2365,2538,2619,2579,
