-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2,2026Q3,2026Q4,2027Q1,2027Q2,2027Q3,2027Q4,2028Q1,2028Q2,2028Q3,2028Q4,2029Q1,2029Q2,2029Q3,2029Q4,2030Q1,2030Q2,2030Q3,2030Q4,
Cascais,2384,2365,2379,2396,2421,2454,2608,2616,2494,2479,2665,2597,2695,2693,2503,2746,2680,2830,2621,2576,2829,2699,2607,2798,2827,2832,2668,2763,2957,2947,2785,2655,2724,2829,2854,2757,2541,2517,2620,2818,
Odivelas,1899,1865,1851,1857,1908,1932,1938,2010,2056,2010,1990,2017,1904,2062,1879,1986,1955,1972,2153,2090,2123,2161,2185,2170,2208,2256,2200,2121,1918,2053,2116,2173,2137,2119,2109,2219,2108,2039,2199,2187,
Setubal,1347,1327,1351,1509,1519,1694,1654,1576,1651,1630,1689,1667,1673,1653,1681,1653,1683,1855,1644,1984,1722,1693,1552,1765,1805,1718,1917,1771,1794,1865,1689,1806,1756,1723,1724,1899,1739,1832,1753,1849,
