-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2,2026Q3,2026Q4,2027Q1,2027Q2,2027Q3,2027Q4,2028Q1,2028Q2,2028Q3,2028Q4,2029Q1,2029Q2,2029Q3,2029Q4,2030Q1,2030Q2,2030Q3,2030Q4,
Cascais,2473,2544,2444,2517,2510,2579,2556,2518,2754,2671,2637,2574,2780,2822,2861,2740,2661,2874,2806,2782,2782,2864,3144,2952,2857,2944,2785,2879,3036,2789,2859,2744,2792,2786,2768,2659,2726,2734,2812,2707,
Odivelas,1936,1905,1898,1867,1859,1967,1921,2064,2069,1985,1991,2038,1966,2045,2129,2130,2056,2068,2154,2089,2198,2116,2128,2301,2142,2074,2132,2168,2171,2187,2215,2383,2289,1988,2172,2044,2148,2369,2150,2067,
Setubal,1273,1431,1416,1608,1572,1700,1566,1698,1611,1651,1742,1700,1669,1638,1845,1754,1676,1825,1843,1606,1648,1816,1902,1804,1865,1678,1885,1978,1821,1913,1800,1920,1843,1991,1802,2021,1997,1920,1733,1869,
