-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2,2026Q3,2026Q4,2027Q1,2027Q2,2027Q3,2027Q4,2028Q1,2028Q2,2028Q3,2028Q4,2029Q1,2029Q2,2029Q3,2029Q4,2030Q1,2030Q2,2030Q3,2030Q4,
Cascais,2514,2437,2415,2388,2541,2616,2525,2853,2718,2900,2729,2769,2728,2984,2847,2746,2756,2801,3076,2862,3198,2683,2976,2885,3028,2926,2851,2943,2779,2836,2607,2863,2660,2881,2811,2927,2894,3173,2790,2848,
Odivelas,1975,1923,1939,1885,1870,1828,1952,2035,1997,1968,1990,1948,1837,1950,2107,2062,2116,1999,2036,2078,2094,2159,2166,2123,2101,2158,2150,2203,2165,2142,2306,2100,2296,2160,2139,2160,2073,2193,2182,2147,
Setubal,1389,1282,1441,1635,1590,1488,1585,1654,1649,1673,1754,1670,1654,1638,1812,1848,1747,1714,1860,1704,1944,1859,1843,1833,1954,1976,1913,1849,1668,1829,1716,2079,1713,1947,1920,1997,2067,1742,1949,1837,
