-,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,
Amadora,1649,1635,1704,1760,1821,1941,2092,2150,2374,2193,
Cascais,2782,2994,3103,3153,3120,3185,3215,3041,2997,2957,
Oeiras,2578,2708,2759,2802,2921,3091,3170,3101,2831,2995,
Odivelas,1768,1748,1933,2020,2090,2128,2162,2135,2232,2194,
Setubal,1327,1568,1645,1696,1755,1898,2061,2079,2007,2191,
