-,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2,2026S1,2026S2,2027S1,2027S2,2028S1,2028S2,2029S1,2029S2,2030S1,2030S2,
Cascais,9.17454738203633,9.95655677939824,9.79234794024061,10.46903555780908,10.267202476680225,11.144580179875827,11.357398765892722,10.456337357185399,10.80959089604142,10.85844172438242,10.523448825518825,11.017861565007738,11.56950842459409,11.654354798452307,11.929335435563377,11.50320317173282,12.916337703535278,12.177403215228871,11.955000086281272,12.042731223408843,
Odivelas,6.903579256156469,7.29516213955222,7.795655489241592,7.306835205688743,8.236093290217621,8.12191732479303,8.491307093131812,8.873904055220981,8.777814603960396,8.781636084753767,10.227907903072381,10.139377050521128,8.597327364528034,8.815800188360557,8.504736361324845,9.032641818452657,10.328043709996908,9.86849615082026,9.548202318318008,8.549212090625556,
Setubal,5.744801618174532,4.956048306169415,5.378393252391843,5.976551128856922,6.514197327232226,7.082590584036159,5.679762062837144,7.0940988830044756,7.115799058915979,6.520119020998984,6.395206798184256,7.311577979717102,7.404199015299164,7.717559504414266,5.784417231214617,7.603643685407829,7.650851778571786,7.373004890344017,7.652624402489787,8.006692754672166,
