-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,1726,2025,1924,2100,1783,2125,2261,2214,2490,2342,2503,2484,
Cascais,2275,2592,3067,3062,2858,2706,2741,2692,2941,2770,2910,2869,
Lisboa,3039,3641,4068,4099,3771,3820,3864,3730,3995,3676,3608,3817,
Loures,1826,1905,2084,1959,2156,2430,2295,2485,2625,2187,2788,2704,
Mafra,1445,1442,1623,2132,2344,2424,2324,2285,2659,2487,2479,3110,
Odivelas,1874,2050,2260,2485,2496,2577,2546,2622,2600,2528,2580,2910,
Oeiras,2227,2328,2689,2681,2793,2410,2890,2648,2532,2661,3197,2980,
Sintra,1461,1562,1706,1591,1664,1905,2133,2126,1733,2175,2061,2122,
VilaFrancaDeXira,1446,1669,1576,1700,1545,1669,1800,1549,1636,1635,1853,2491,
Alcochete,1415,1983,1609,1387,2568,3206,1655,3409,0,2477,1970,2528,
Almada,1779,2111,1903,2074,2345,2671,2389,2511,2081,2560,2582,2312,
Barreiro,1113,1289,1210,1071,1235,1933,1327,1639,1666,0,1202,0,
Moita,971,1025,1042,1285,1284,1297,2979,1166,1451,1347,1604,1632,
Montijo,1454,1330,1565,1914,1984,1847,2041,2089,1696,1896,2596,2350,
Palmela,1173,1477,1367,1749,1414,2489,1604,2684,1720,3071,2797,1951,
Seixal,1448,1614,1654,2069,1954,2264,2412,2529,2086,2547,2403,2745,
Sesimbra,1422,1622,1462,1623,1720,3101,1769,3020,1535,1795,2605,1905,
Setubal,1444,1380,1673,1548,1792,1814,1780,2203,2560,2160,2980,2206,
