-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,556,212,111,44,15,10,14,9,5,11,11,12,
Cascais,407,151,70,43,21,22,27,19,23,16,18,11,
Lisboa,1385,307,94,63,74,74,57,89,50,35,35,40,
Loures,506,143,100,68,20,17,10,8,12,11,9,4,
Mafra,154,70,28,18,5,6,6,12,7,5,1,2,
Odivelas,328,106,53,33,15,17,12,13,7,15,5,6,
Oeiras,372,147,62,41,22,8,7,14,4,4,7,13,
Sintra,958,304,142,67,13,15,19,9,24,8,10,20,
VilaFrancaDeXira,313,116,47,26,5,7,3,2,1,3,5,2,
Alcochete,37,9,13,5,4,1,0,1,0,0,0,1,
Almada,507,169,78,41,16,8,12,6,11,12,3,7,
Barreiro,259,65,35,18,16,2,3,1,1,2,3,2,
Moita,184,58,41,22,7,2,4,3,0,3,2,0,
Montijo,139,44,28,15,7,10,1,1,1,0,3,0,
Palmela,105,33,23,9,4,3,3,1,6,0,1,3,
Seixal,287,119,44,33,18,3,6,9,11,11,6,5,
Sesimbra,58,32,15,14,5,1,1,1,0,0,3,0,
Setubal,299,97,46,34,4,3,12,6,3,9,3,7,
