-,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,
Amadora,10.065829368862648,10.452881002176651,12.631208644193427,12.480514349750585,13.243478361644527,11.930850493733882,
Cascais,11.86714399782252,13.440398026929852,15.175808547684005,15.210840763027232,17.021926790354932,13.918789758964028,
Lisboa,13.176328477988939,17.046741385279333,18.201952929174038,16.929563096337652,18.967188616707055,18.044255008386298,
Loures,8.601892811544197,10.354338585308355,10.175312954521726,10.974602244385895,9.840150542798309,11.151052199152236,
Mafra,7.674411812142481,10.468987792591781,7.669221288802586,13.043576235919652,7.996802493604907,10.618096965305474,
Odivelas,9.502258359503012,11.152761002992683,12.82146279322673,10.618934429073157,13.99232575386204,12.009743768254221,
Oeiras,11.697167163592674,13.640530465650055,13.031879740305229,14.210744303800169,14.46753525212906,14.37495033647528,
Sintra,8.33037999785623,8.625968973159523,9.213233698828406,9.649417074807204,11.149141745866702,10.579834906379698,
VilaFrancaDeXira,7.862015956967396,8.12020978837547,9.87553722903991,9.822148389642669,7.091315978242154,8.527727843854812,
Alcochete,7.191838009803757,6.882949069338711,7.794719560808253,8.750444425473791,9.970864899763455,0,
Almada,9.518107556540032,10.339521119679656,12.052013556857645,11.366903148290607,12.286160876741546,10.656170703670561,
Barreiro,7.690379817486543,8.222827156584275,11.06023397440618,10.472207215530776,8.005592752579101,10.264855215236574,
Moita,6.371096048975507,5.779862652891504,9.288234829752636,8.000759013583586,7.639630566109437,7.085816339965193,
Montijo,7.6078572854052595,7.080523337016557,9.242386616978418,7.696585062298552,10.252900611449268,11.141401748330553,
Palmela,6.725548864248327,8.473753511988066,9.692624405372598,8.475475480521528,6.885442456872448,10.940467541335913,
Seixal,7.417036353903332,7.786880220353597,10.754036557228673,9.52396224617645,9.797633317500862,10.548878366529134,
Sesimbra,7.06778624186424,10.223332393024284,7.687312363061437,9.420247305073929,10.48448465289725,10.584376734586925,
Setubal,7.23128992540445,9.723133246631097,8.566989284418542,8.39881761611073,9.56481132342348,11.320483682717777,
