-;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;
Amadora;1727.071635306586;1663.5722446987609;1603.3692241313997;1555.747554805473;1554.6354912287497;
Cascais;2665.08;2660.0092139804447;2534.4645621874915;2499.7999445012574;2379.659716475994;
Lisboa;3164.1533993218636;3067.603217151795;3055.3012011467004;3149.2367198216402;3266.0247927160917;
Loures;1667.0;1666.484590978257;1623.9953487371754;1653.945139332864;1630.4896264461026;
Mafra;1606.6048793990371;1617.0317887709036;1579.5120902418507;1551.3847424788278;1426.273839034135;
Odivelas;1929.305;1944.7567882581277;1843.9697067561;1771.3099428707797;1727.2315136888508;
Oeiras;2485.0;2545.225535336084;2363.2102740015;2311.522439804222;2224.9155618329096;
Sintra;1602.821984707196;1528.604368684565;1488.366303746668;1476.8962329250512;1476.1845749568913;
VilaFrancaDeXira;1700.6103924742627;1386.29577083654;1414.2514955904398;1291.6085831150478;1269.5951445964656;
Alcochete;0;1388.684088;1354.2098310576;1300.8485604167047;1353.4691284213739;
Almada;0;1693.0639316572401;1714.8484829808267;1617.5714493321439;1553.8326801183741;
Barreiro;1461.3796617160392;1755.281227619214;2029.6148230099848;1799.974480573953;3222.705451412055;
Moita;1036.270805929239;965.3985;936.7251991515;908.9035240115012;873.0890986403874;
Montijo;1364.0;1336.8564;1297.1504280635997;1309.5784906864071;1333.3493056205684;
Palmela;1309.750937095264;1325.208775560222;1234.9632934563783;1186.5454183234456;1152.6132508763674;
Seixal;1521.541758331403;1450.548;1398.643473299951;1416.4866182444212;1458.3330590176272;
Sesimbra;1648.0184015451987;1609.7704382647337;1659.7029997469122;1703.1056567236515;1660.1552875661268;
Setubal;1349.5436423285905;1274.13;1248.2342652111115;1221.313008865135;1197.1907315633443;
