-;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;
Amadora;1374.8315421187563;1505.0323293319623;1522.1291992600475;1491.4993109316079;1683.9540978454456;
Cascais;3211.467347539709;3127.4394542716113;2125.9790590213247;2730.9690642498012;1683.0119900634777;
Lisboa;4332.745889866569;3950.9960933941575;4240.6351326953945;4238.042440702561;4237.318938241688;
Loures;1776.6411975931296;1349.7561236007737;1856.371744561536;1759.4243685709416;1723.213036934525;
Mafra;1827.5264639175982;1733.1380578342576;1643.5067037263775;1550.7939410945655;1060.341203181899;
Odivelas;1878.5671482979428;1764.6837809461022;1447.7050225664032;1607.0111958591701;1922.5084316486427;
Oeiras;1730.1875730339607;2039.8174443783657;1895.0335516400432;1547.8330945238642;1923.6693040042787;
Sintra;1344.718788712881;1088.1264347212684;1316.3105760004405;1350.0480979769438;1450.2710992767393;
VilaFrancaDeXira;1824.8949996538786;1001.595103091528;992.7558112034652;935.6440837252605;950.5138757568258;
Alcochete;1085.3043784532022;1183.8979724154244;0;0;0;
Almada;1275.9207520905047;1040.3845037854703;1249.8041416770304;1513.491759383406;1137.2219722766035;
Barreiro;884.8476718350391;932.0375245213844;1311.014901637673;0;0;
Moita;988.4608659756971;1057.7468165224122;1005.4589821502597;925.9873683806838;938.5237881164662;
Montijo;1038.9537898669444;1145.0738504887915;984.4834696152157;883.4405106235826;907.9107914914377;
Palmela;859.3176990043005;1086.231989494972;998.2214579239603;962.152402891545;969.4651567930098;
Seixal;1087.9702269085951;1099.9599371554827;1540.8543089161371;1679.861474004447;1558.4993919993703;
Sesimbra;1318.2918033590192;1362.5136597710543;1461.7632844914106;1286.8367999086875;1236.2239004360517;
Setubal;1162.7605947863826;1152.999044384888;1120.2994407874482;1087.918556621097;1043.2963692320259;
