-,2021,2022,2023,
Amadora,7895,1080,492,
Cascais,5607,1001,286,
Lisboa,14010,1271,1557,
Loures,7275,985,508,
Mafra,1811,413,254,
Odivelas,4464,620,349,
Oeiras,4940,715,334,
Sintra,10087,1414,572,
VilaFrancaDeXira,3971,524,254,
Alcochete,620,302,95,
Almada,6290,921,334,
Barreiro,2748,651,254,
Moita,2081,413,64,
Montijo,1747,238,207,
Palmela,1731,397,159,
Seixal,3622,1112,413,
Sesimbra,1128,349,95,
Setubal,3812,556,302,
