-;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;
Amadora;1664.91295997396;0;0;0;0;
Cascais;0;0;0;0;0;
Lisboa;0;0;0;0;0;
Loures;1380.290982413764;2377.482753412598;0;0;0;
Mafra;1479.6178544858474;0;0;0;0;
Odivelas;0;1881.275590849517;1909.5029323869114;2073.586170458587;0;
Oeiras;0;0;2373.4616415495248;0;0;
Sintra;1646.8630703887156;2270.513705151939;2411.100621309893;3240.975556137604;3887.1584777105427;
VilaFrancaDeXira;1845.337784241116;7717.344788747469;3637.978513034024;0;0;
Alcochete;1402.8582750960784;1693.2072633668422;0;0;0;
Almada;1311.9453056755667;3791.3957570461916;0;0;0;
Barreiro;1652.0623879101647;1831.4275601089641;0;0;3558.5581226435943;
Moita;1434.1788215809634;1936.38135599712;2786.8965540378003;2976.950202820417;3742.6338315360085;
Montijo;1193.5485553954886;2285.4928046220425;2776.5936079714465;2983.1681652919524;0;
Palmela;1092.1811093342014;2966.6267688656526;0;0;0;
Seixal;1757.4609506674824;946.0077183024848;917.1851517405736;906.7205998961792;898.4153915657885;
Sesimbra;1626.9202490827136;3353.8583824957423;4749.635152640267;3443.598244045808;4574.684964004523;
Setubal;1760.344191369864;1313.5095134328647;1754.4475584074676;2064.058306517498;2465.2902194390213;
