-;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;
Amadora;1669.1399999999999;1694.6621578555107;1587.3355318900856;1555.747554805473;1504.985303035454;
Cascais;2678.54;2700.8391739612107;2599.9608659836163;2564.8587019529264;2410.2505804644634;
Lisboa;2984.85;3055.4196859283493;2963.9257274989886;2810.81332091481;2759.8133577909557;
Loures;1692.0082654179532;1723.2977256207785;1590.5298603833735;1543.9984838088476;1492.5288698492802;
Mafra;1615.785071468514;1609.380199004404;1521.229570486082;1494.2510128433335;1458.9929021038356;
Odivelas;2036.9395724074411;1985.7450040162835;1928.0353241819607;1798.593668861075;1759.963252494813;
Oeiras;2706.5171762254213;2839.4207586302073;2701.127580208952;2281.555462825115;2224.9155618329105;
Sintra;1930.7852144123729;1906.6147180382118;3116.2669067095203;4080.589292873995;5151.602485097059;
VilaFrancaDeXira;1671.3141997005293;1419.883074776781;1564.3577011270531;2040.2534448620843;2306.978955405775;
Alcochete;1409.76;1388.684088;1340.6677327470238;1287.8400748125378;1274.961674064412;
Almada;1735.47;1718.1153000000002;1691.7280363070245;1609.483592085483;1569.5279597155293;
Barreiro;1282.3160148320367;1241.0418125381525;1183.7593306250285;1161.6714543761339;1154.1416580356868;
Moita;1018.4041391507049;966.0817645861212;937.9157479921921;908.9035240115012;883.1821013515977;
Montijo;1364.0;1344.556758556814;1297.1504280636002;1252.8611464102266;1222.4674951453117;
Palmela;1494.7451398197838;1356.3172701331114;1219.1382565394697;1188.8071195255282;1152.300333230968;
Seixal;1702.4159751048992;1576.5803171143195;1490.1050734585;1453.4656095673379;1336.701492479842;
Sesimbra;1630.9770449246887;1547.3073923587554;1522.448185247782;1496.9672624622383;1488.3585154445102;
Setubal;1479.8667423529166;1402.655908790466;1385.1371135684653;1362.4705720994093;1551.7476896601977;
