-;2021Q1;
Amadora;1518.5177795308937;
Cascais;3683.8371037441566;
Lisboa;5117.770460912932;
Loures;2015.617633203017;
Mafra;1912.155580414104;
Odivelas;2392.4175341021055;
Oeiras;1915.6229747487807;
Sintra;1546.9077910883157;
VilaFrancaDeXira;2398.1004751102573;
Alcochete;1275.5389896729935;
Almada;1292.9443175434526;
Barreiro;972.7942357456619;
Moita;1139.910060194496;
Montijo;1099.954678596869;
Palmela;912.7358569746071;
Seixal;1058.7391378288507;
Sesimbra;1489.3722137245013;
Setubal;1290.7311858043365;
