-,2021,2022,2023,
Amadora,8689,1557,1160,
Cascais,6227,1890,1271,
Lisboa,21508,4511,2875,
Loures,8784,1604,874,
Mafra,2605,413,508,
Odivelas,5496,1207,731,
Oeiras,6465,1398,937,
Sintra,14773,2923,1747,
VilaFrancaDeXira,4781,1239,905,
Alcochete,715,238,127,
Almada,7863,1493,1191,
Barreiro,3495,905,588,
Moita,2653,747,349,
Montijo,2383,635,334,
Palmela,1827,286,127,
Seixal,4511,1064,762,
Sesimbra,1398,286,143,
Setubal,5210,1033,778,
