-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,1971,2471,2375,2269,2034,2335,1848,2107,2439,2501,2265,2636,
Cascais,2686,2974,2569,2779,2958,2732,2510,3244,3235,3025,2376,3320,
Lisboa,3064,3620,4481,4346,4179,4195,4155,4165,4138,3701,3736,4164,
Loures,2024,2308,2458,2496,2203,2196,1848,2205,2462,2120,2298,2085,
Mafra,1823,2039,2111,1648,2016,2314,2952,2660,2458,2739,2409,2530,
Odivelas,2209,2471,2555,2456,2422,2256,2488,2338,2547,1958,2457,2542,
Oeiras,2623,3098,2624,3044,2640,2666,2820,2678,2775,3452,2418,2167,
Sintra,1637,2151,1467,2235,2336,1511,1807,2685,1871,2468,2678,2117,
VilaFrancaDeXira,1591,2242,1976,1271,1754,1963,1660,1982,1670,1082,1565,1520,
Alcochete,1800,2377,2554,1939,1786,2596,1996,2271,2067,1374,2310,1834,
Almada,1965,2498,2447,2413,2532,2593,1969,2324,2437,2560,2166,2445,
Barreiro,1254,1597,1753,1399,1203,1196,1704,1324,1312,2280,1576,2085,
Moita,1178,1393,827,1281,944,1345,2055,854,1281,1457,1777,1362,
Montijo,1467,1728,1922,2251,1547,2081,2101,1556,1256,2034,2439,2061,
Palmela,1296,1479,1473,1214,2520,1921,1335,1881,1889,1763,2015,1781,
Seixal,1731,2113,1958,2589,2481,2138,2270,2535,2403,2681,1739,2504,
Sesimbra,1543,1943,1493,1178,1646,1401,1246,2369,1645,2105,2843,1713,
Setubal,1524,1876,1902,2572,1535,2548,1202,2128,2257,2389,1638,2456,
