-,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,
Amadora,10.77105163436195,7.612138060893246,6.503834451732406,6.154990966019454,6.0146023051970285,7.532603990222397,
Cascais,11.891551089045663,8.54206248642047,9.434238439167418,13.676653064371456,14.796033917837665,8.316851904980846,
Lisboa,14.291666587875005,10.19163989948036,13.47516050963672,21.42457038581933,19.622124518670546,22.8690522398435,
Loures,10.380543972850957,6.453821806171936,5.532975080207669,5.218743702549811,10.745131098557692,4.661944266142948,
Mafra,7.950321220933873,4.800427942294149,4.529069759894779,4.139972508970602,13.79475137976445,9.553156749413457,
Odivelas,10.094119766697661,7.374508449665932,6.543141249814347,6.947523032787117,8.100904716459102,9.875478250504404,
Oeiras,12.63527804644432,8.419285671984808,8.180498693270206,9.825517593363413,7.888093588500861,7.775466833366794,
Sintra,8.979515628364226,5.817580056470207,5.177266194584442,5.061850434409081,5.085732028434475,3.916967676188014,
VilaFrancaDeXira,8.552866586538462,5.684966484832177,5.092637944908175,5.319944585625674,5.174111646476552,5.710988501943371,
Alcochete,6.711847027609932,5.561679456727059,4.4056913976364624,7.5436254477959395,5.101953544888187,8.460430633011491,
Almada,10.48077618205558,7.4396637949373,6.58514182541621,6.183386531901537,6.21609861417225,8.60737769530543,
Barreiro,7.90997376365269,5.760539386651965,5.347901194093582,5.29625507063657,5.008719264103092,4.030950123247852,
Moita,6.286694238764861,4.891327218036609,4.363731765907578,4.211945724589535,3.805889751398067,3.767663738905714,
Montijo,7.828664249160246,5.29223066471573,5.293289397742423,4.833566661397698,6.01472876678152,10.321994694239432,
Palmela,7.068451893779112,5.096291228052364,4.50203076446363,3.4956980168616574,4.182831589163519,5.231082690362053,
Seixal,8.183994013424797,5.52575938325093,5.214410391423451,4.521378864017784,6.026707970181469,4.812491653671871,
Sesimbra,6.829110291565286,5.126167031205684,4.56912076834573,4.1444855491511365,7.182820584682229,8.530360437761907,
Setubal,8.567620350431048,5.45424974280078,5.0774165758846905,4.839166585384351,5.142101785714728,4.760213821004957,
