-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,588,123,45,20,28,16,12,19,21,13,12,22,
Cascais,383,83,50,28,33,26,16,35,24,28,20,20,
Lisboa,1110,254,75,67,50,37,35,27,42,15,23,24,
Loures,529,114,30,21,13,15,11,16,5,14,7,4,
Mafra,160,32,13,4,5,4,10,7,7,0,2,4,
Odivelas,335,79,40,26,46,33,31,25,23,29,27,22,
Oeiras,368,104,45,17,15,23,14,18,5,17,13,11,
Sintra,923,153,38,16,23,18,18,12,7,13,17,11,
VilaFrancaDeXira,311,75,17,16,4,11,6,13,6,13,8,6,
Alcochete,36,11,3,7,1,2,3,2,1,3,0,0,
Almada,471,109,27,14,14,13,13,3,5,16,13,13,
Barreiro,219,37,10,3,5,1,14,9,10,3,9,11,
Moita,188,27,7,3,2,7,4,3,2,0,1,7,
Montijo,146,36,14,11,7,7,2,6,8,5,5,4,
Palmela,108,12,6,1,7,2,0,9,3,1,4,6,
Seixal,292,67,24,18,11,9,8,14,0,13,6,9,
Sesimbra,60,26,10,8,6,4,7,7,0,2,3,5,
Setubal,293,55,24,20,18,16,10,8,14,5,9,5,
