-,2021,2022,2023,
Amadora,12327,1191,1080,
Cascais,8641,1747,1461,
Lisboa,23923,2367,1652,
Loures,11024,874,477,
Mafra,3320,413,207,
Odivelas,7625,2144,1604,
Oeiras,8483,1112,731,
Sintra,17950,1128,762,
VilaFrancaDeXira,6656,540,524,
Alcochete,905,127,64,
Almada,9864,683,747,
Barreiro,4273,461,524,
Moita,3574,254,159,
Montijo,3288,349,349,
Palmela,2017,286,222,
Seixal,6370,667,445,
Sesimbra,1652,381,159,
Setubal,6227,826,524,
