-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,1796,1913,1837,1931,2008,1912,2037,2107,2183,2114,2138,2281,
Cascais,2522,2514,2794,2974,3106,3055,3069,3170,3223,3200,3054,3277,
Lisboa,3173,3425,3836,3893,4011,4301,4298,4685,4426,4460,4589,5602,
Loures,1840,1993,2020,2056,2123,2185,2277,2252,2349,2402,2455,2453,
Mafra,1557,1457,1745,1678,1853,1668,2169,2039,2297,2005,2278,2200,
Odivelas,1972,2097,2194,2198,2130,2179,2209,2322,2408,2209,2339,2300,
Oeiras,2430,2542,2668,2716,2785,2747,2743,2956,2892,2777,2991,2929,
Sintra,1456,1500,1568,1613,1596,1719,1829,1811,1762,2048,1962,2158,
VilaFrancaDeXira,1395,1542,1328,1328,1511,1567,1605,1390,1584,1603,1665,1791,
Alcochete,1708,1864,1868,1839,2029,2037,2153,2253,2058,2046,2338,2022,
Almada,1723,1810,1898,1927,2132,2176,2132,2283,1973,2309,2256,2197,
Barreiro,1215,1427,1347,1473,1482,1362,1634,1558,1654,1541,1579,1333,
Moita,1005,1014,939,1104,1068,1125,1200,1186,1373,1481,1278,1445,
Montijo,1335,1552,1579,1742,1723,1642,1737,1850,1867,2167,2009,2145,
Palmela,1234,1246,1337,1419,1447,1572,1409,1490,1775,1656,1800,1591,
Seixal,1464,1510,1598,1701,1773,1777,1858,2024,1911,2134,2148,2341,
Sesimbra,1326,1548,1702,1434,1537,1642,1704,1686,1588,1778,1760,1663,
Setubal,1346,1369,1445,1571,1590,1558,1723,1830,1807,1764,1802,1709,
