Year,Birth Rate,Mortality Rate,Divorces,
2021,14.389956062418271,15.039861217776437,1.6974208834556617,
2022,13.405240935167178,15.533955973177632,1.7987131761355535,
2023,13.269197112070907,16.520294051890478,1.7950484868480618,
2024,12.669525127797426,17.50233178968088,1.7919276841221623,
2025,12.27703962293181,18.490752458497063,1.8803083696963503,
2026,11.233591758374898,18.483168518681865,1.5868069544166834,
2027,11.254750067107585,19.165764322009778,1.8173102545853281,
2028,10.836293605284677,20.191035002454537,1.7809658220074605,
2029,9.993919739576008,21.271083040908923,1.6570478951524636,
2030,9.85101834780404,21.140297424679687,1.8215818061552245,
