-,2021Q1,
Amadora,2256,
Cascais,3409,
Lisboa,3898,
Loures,2436,
Mafra,2109,
Odivelas,2575,
Oeiras,2986,
Sintra,1786,
VilaFrancaDeXira,1759,
Alcochete,2140,
Almada,2473,
Barreiro,1278,
Moita,1306,
Montijo,1817,
Palmela,1435,
Seixal,1812,
Sesimbra,1843,
Setubal,1854,
