-,2021Q1,
Amadora,12.779530445644735,
Cascais,13.434660562579126,
Lisboa,16.716779740436785,
Loures,11.522316204216764,
Mafra,8.667397015374933,
Odivelas,10.902368060102654,
Oeiras,13.138430003684888,
Sintra,10.44073423590742,
VilaFrancaDeXira,10.091772902486262,
Alcochete,7.922777289525883,
Almada,11.314670029753344,
Barreiro,9.979077833489306,
Moita,8.56059379392061,
Montijo,8.630091214398512,
Palmela,8.522933342608964,
Seixal,8.71888791394051,
Sesimbra,7.161094689796063,
Setubal,8.949746345792352,
