-,2021Q1,
Amadora,1846.7957120462597,
Cascais,2589.3323838016804,
Lisboa,3339.877804816932,
Loures,1719.2715905797377,
Mafra,1661.421032734556,
Odivelas,2006.548335424116,
Oeiras,2573.8349601361815,
Sintra,1474.9477519297338,
VilaFrancaDeXira,1514.4788399273723,
Alcochete,1523.399041150476,
Almada,1945.1666641812567,
Barreiro,1172.4414800781153,
Moita,993.044124647443,
Montijo,1438.0549242815123,
Palmela,1363.825803437484,
Seixal,1530.6485253986725,
Sesimbra,1455.0508945014808,
Setubal,1360.528533381924,
