-,2021Q1,
Amadora,898,
Cascais,659,
Lisboa,1940,
Loures,858,
Mafra,311,
Odivelas,554,
Oeiras,705,
Sintra,1930,
VilaFrancaDeXira,652,
Alcochete,61,
Almada,898,
Barreiro,473,
Moita,359,
Montijo,272,
Palmela,286,
Seixal,724,
Sesimbra,162,
Setubal,632,
