-,2021Q1,
Amadora,11.99392119689406,
Cascais,14.566703210525977,
Lisboa,16.73504808085445,
Loures,10.920949336193262,
Mafra,9.718298268749226,
Odivelas,11.43355486918545,
Oeiras,13.63017704079945,
Sintra,10.0005673908825,
VilaFrancaDeXira,9.156777496768317,
Alcochete,7.356275964478191,
Almada,12.151305007901502,
Barreiro,9.247183800763494,
Moita,7.614216505028736,
Montijo,8.52715324037941,
Palmela,8.82959225253991,
Seixal,8.766848884626903,
Sesimbra,8.130962851928334,
Setubal,9.142879437552095,
