Year,Birth Rate,Mortality Rate,Divorces,
2021,10.334277082876838,14.862120823963451,1.6889395258653586,
2022,9.97644013969637,15.82627445999819,1.9646398261306737,
2023,9.248565460764715,16.310322975179652,1.949557687442575,
2024,8.59105595003306,17.077733723828473,1.8338129650011463,
2025,9.175178562684613,17.258029212828905,2.0076877757573075,
2026,8.158532900933004,18.64791473635245,1.708096436979439,
2027,8.005602531078848,18.651772782685,1.9299983997972971,
2028,6.737642402531292,20.96278141262026,0.9823531611705288,
2029,6.748871659886614,21.411627042182815,1.3035951437337256,
2030,7.544484895458497,20.8290150676765,1.8047544215090046,
