-;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;
Amadora;1605.3064271425412;1597.1815837931024;1624.0510136906255;1667.8573663278946;1652.9868569072667;
Cascais;3761.9686767199028;4182.290304261502;3745.2495158463257;3954.4076177737693;3280.6768069926397;
Lisboa;4889.262781230259;4556.850580170987;4450.601788017737;4229.545826090101;4201.864862016905;
Loures;2079.9508630239648;1454.6907530804795;1711.0371265188974;1943.9990054841023;1858.5417378805905;
Mafra;2176.2587093936118;2230.23961613208;1954.4989523168485;2015.4624011561204;1657.5466477180228;
Odivelas;2099.369633739233;2410.0887722709904;2229.611047661921;1910.430095902574;2201.9234667710107;
Oeiras;2108.9230664696433;2373.0390117717075;2714.3663878232446;1949.9491811290804;2269.5387803464723;
Sintra;1655.9636832462365;1208.8377441999778;1454.1042059582437;1424.9568000344832;1476.4041485115902;
VilaFrancaDeXira;2219.857083889402;1427.7434214432626;1185.9575255221778;1252.5653589105284;1111.642997279298;
Alcochete;1293.9975918935747;1234.7014419644586;0;1681.6658741998247;0;
Almada;1553.8371760908642;1247.3756051356427;1247.7152659607214;1645.7984992575437;1331.7658671376225;
Barreiro;1053.8957712225742;986.0136541027566;0;1344.9628753018624;1097.3756541921653;
Moita;1122.514710878756;919.9525278061963;1243.491027084896;1150.3901090245404;1148.2099077613968;
Montijo;1230.690365952888;966.3672305388925;1222.3908332700341;1684.4404846831092;1064.2902145737717;
Palmela;1012.2090475204099;1235.6618871582841;1049.4713050773412;1067.601654580788;1089.7341554255659;
Seixal;1247.832217691618;1242.1472862039684;1680.7673278261668;1911.8037399905652;1805.6166332265814;
Sesimbra;1569.1480875912157;1552.0711715106;1612.205133049406;1562.89075977153;1446.595770507772;
Setubal;1505.8005613076903;1348.1584037449834;1240.4507809006502;1241.032057883621;1238.7956727108237;
