-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,1953.1558487697293,2258.343623428514,2364.755999449084,2333.7677152930496,2334.588467541663,2094.5743674693103,2174.371222109507,2219.200492642552,2386.5668706774195,2009.3201033454343,2190.0947347796064,2342.8534222167746,
Cascais,2449.16880012453,2698.8011835810894,2784.817970100744,3079.264812521281,2722.4284831432374,2853.428521076635,3194.4146361886064,3275.2416877451838,2966.3331785723512,3078.735827469366,2851.2232322418186,2928.8892353948067,
Lisboa,3345.2234265481256,4049.285344435834,4321.775138038184,4208.2137765159805,4184.118636859016,3911.1042684478743,3819.1101361371393,4040.7391536072037,4121.468657505304,3969.4332124536677,3592.114573610096,3532.3930018515125,
Loures,1966.0547956076045,2111.9772363621623,2011.832209416397,2130.0981882647643,1936.338089265114,2080.0957713258595,2115.0217234614174,2016.1663872606618,2197.0433242300232,2145.578835222036,2208.801590230894,2308.441869620324,
Mafra,1604.3109244011657,1586.983627086525,2015.3403039397372,2279.362956294758,2117.408486769447,2149.368252734831,2182.734507407332,2195.6810952781398,2116.857934955051,2326.7006340552803,2342.791706841803,2383.0117829915644,
Odivelas,2137.8912132652044,2316.4350872770433,2256.384432269371,2432.4498596614067,2182.7282567203747,2233.993271068563,2358.9227622820563,2303.4322271528354,2306.8320382989587,2332.916383717655,2168.6887696459776,2228.2726672265926,
Oeiras,2481.697424422323,2421.544881628296,2596.1660321981276,2548.9735241698363,2575.47192928639,2575.0915912408323,2552.295313148241,2547.945718921712,2383.6528325599056,2529.309214974692,2636.798984703686,2849.2632599608,
Sintra,1559.6782042027326,1576.321617654186,1631.067962906255,1677.4799507886833,1609.4467832341763,1739.6730673657157,1648.6013760876558,1855.889101526219,1797.6990462364606,1990.1124691275586,2076.874437829887,2103.651620868906,
VilaFrancaDeXira,1523.9310152900116,1361.8335861109324,1704.7739991274282,1378.5227121795203,1495.3464995466366,1294.6768753233314,1834.1070934391614,1732.4478746123293,1650.1416961600464,1836.3324480282406,1762.0151694864694,1972.7230879820024,
Alcochete,1566.143309442813,2133.6034204060315,2192.6721640738733,3401.427790465841,2941.254327752649,3296.4563845297416,2406.191002146572,3292.180098985139,3493.4723570231163,0,2667.6021942010193,2338.113896887532,
Almada,2032.6708111190915,2037.4103223086568,2442.4592601335903,2315.4778018833726,2423.3600661705086,2323.9241416432355,2542.9158976926815,2116.2305945367175,2339.8962190266748,2397.560144235326,2486.458470499385,2575.4208566118978,
Barreiro,1213.3660794971647,1390.0291794684676,1453.8861502433983,1338.5850540949968,1346.8238679078647,1500.126602154123,1412.9729907852475,1514.6141133276262,1531.6021031473854,1464.716615105103,1683.5354229680065,1687.975536935376,
Moita,1089.989891308061,1066.799776203445,1198.4297115710433,1027.5376810674893,1292.3786037842312,1302.678534853941,1429.8421485016015,1240.5360698097109,1382.630579914392,1434.4614133372654,1656.7645226456582,1650.189456035429,
Montijo,1417.327250477262,1525.1870553750352,1655.767235481546,1688.453553920349,1866.7569614049644,1683.1402654331337,2020.6648348700671,1998.8155139550126,2195.3418451393036,2637.7079045921128,1939.6030076299726,2002.269995996619,
Palmela,1266.221261311915,1492.636495982571,1399.9792854930242,1676.6766314536158,1685.5446817985812,1786.2312046358159,1550.9917614282358,2028.7387994752592,1916.4859999260955,1956.867718741402,2066.116550161104,2140.8703111297123,
Seixal,1454.197436053327,1450.5759125610743,1575.832781580875,1865.5398356641726,1953.4664322600374,1827.2164350774524,1689.3824161168043,1794.7353174162529,2260.1243338129657,2044.7332655738421,2094.376658281704,2250.050895017057,
Sesimbra,1588.6762098864324,1329.3908298581441,1781.7841710087719,1621.6334641731355,1576.5387681976017,1702.292268374384,1765.6228972039364,1641.7068689364894,1940.624844011304,2185.7663230742514,1689.83556857092,2238.077059228539,
Setubal,1460.2128953372774,1584.3108258370448,1474.7635515591664,1423.6623106449456,1727.1158173822878,1764.199259718908,1673.1409962920768,1820.6362438588735,1712.1460105702793,1743.2922117512321,1971.1233738389863,1978.9332441995634,
