-;2021Q1;
Amadora;1485.45527292232;
Cascais;3421.487610821499;
Lisboa;4885.356366992255;
Loures;1940.5343588372502;
Mafra;1780.6459754612506;
Odivelas;2230.1815385812642;
Oeiras;1909.8954996537552;
Sintra;1497.56558090274;
VilaFrancaDeXira;2279.784890524056;
Alcochete;1266.249516648088;
Almada;1296.7356762120453;
Barreiro;951.7200129998486;
Moita;1104.3896632883484;
Montijo;1081.2994070591888;
Palmela;905.0924679417031;
Seixal;1047.126138679236;
Sesimbra;1458.0900632861428;
Setubal;1271.232102000993;
