-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,0,1,35,60,91,103,97,74,58,72,58,34,
Cascais,0,0,17,43,61,78,70,62,52,35,38,23,
Lisboa,0,18,163,258,228,240,240,186,147,96,81,48,
Loures,0,0,17,61,76,90,77,71,57,63,43,17,
Mafra,0,0,5,13,25,23,28,27,16,16,10,11,
Odivelas,0,0,10,34,50,70,59,64,47,44,26,23,
Oeiras,0,3,13,39,50,76,64,55,46,38,26,24,
Sintra,0,2,33,106,170,175,134,125,93,88,62,41,
VilaFrancaDeXira,0,2,8,28,47,43,49,43,38,40,25,20,
Alcochete,0,0,2,3,6,8,8,4,4,1,5,2,
Almada,0,0,17,58,92,92,68,62,59,50,38,37,
Barreiro,0,1,10,21,54,43,44,48,20,29,14,19,
Moita,0,0,6,18,37,34,34,21,14,23,16,10,
Montijo,0,0,5,13,25,25,24,16,14,12,13,13,
Palmela,0,0,3,13,16,19,16,13,15,10,10,9,
Seixal,0,1,10,34,46,45,55,44,43,34,31,17,
Sesimbra,0,0,3,4,18,14,15,13,7,10,6,5,
Setubal,0,1,12,45,54,49,48,45,39,24,21,12,
