-,2021,2022,2023,
Amadora,1525,5798,3526,
Cascais,953,4305,2351,
Lisboa,6973,14201,5909,
Loures,1239,4988,2859,
Mafra,286,1636,842,
Odivelas,699,3860,2224,
Oeiras,874,3892,2129,
Sintra,2240,9594,4511,
VilaFrancaDeXira,604,2891,1954,
Alcochete,79,413,191,
Almada,1191,4988,2923,
Barreiro,508,3002,1303,
Moita,381,2001,1001,
Montijo,286,1430,826,
Palmela,254,1017,699,
Seixal,715,3018,1986,
Sesimbra,111,953,445,
Setubal,921,3113,1525,
