-,2021Q1,
Amadora,1772,
Cascais,2664,
Lisboa,3445,
Loures,2006,
Mafra,1569,
Odivelas,2065,
Oeiras,2783,
Sintra,1446,
VilaFrancaDeXira,1540,
Alcochete,1691,
Almada,1874,
Barreiro,1239,
Moita,987,
Montijo,1475,
Palmela,1146,
Seixal,1559,
Sesimbra,1590,
Setubal,1306,
