-,2021Q1,
Amadora,11.931050183477346,
Cascais,13.232164637420773,
Lisboa,15.294681663014751,
Loures,10.257480466861836,
Mafra,8.50932576988675,
Odivelas,10.02589656183612,
Oeiras,12.967598413458516,
Sintra,9.56214974779456,
VilaFrancaDeXira,9.048566154955614,
Alcochete,7.655670763919776,
Almada,11.330926560312669,
Barreiro,8.856034706398534,
Moita,7.723795652123792,
Montijo,7.497755270416379,
Palmela,8.218906929848135,
Seixal,9.04937684690406,
Sesimbra,7.36893210547112,
Setubal,8.723264197985447,
