-;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;
Amadora;1686.0;1657.2272502343787;1607.0079682326177;1574.2631216519403;1553.2851626119423;
Cascais;2808.111859024555;2920.6805918104515;2567.826917570402;3310.0309675271405;0;
Lisboa;3049.4671988756745;3084.384000897555;2933.1801252127816;2782.0752537001786;2733.0053012465605;
Loures;1698.8416435752256;1634.2171605897374;1591.2600413779328;1556.6796164907873;1500.752974521701;
Mafra;1593.0;1586.420670348916;1529.884872230687;1548.519368918362;1717.478722122259;
Odivelas;1998.5295859480955;2054.9602437499857;1851.973311879174;1808.6217789557304;1901.3812336378005;
Oeiras;2840.8767585558867;3687.300458247165;5220.051350904743;6814.327075855232;8347.457254482571;
Sintra;1913.9385227814628;2330.68638700165;2801.1171723957686;3079.2596326720513;3451.4638699259676;
VilaFrancaDeXira;1498.001822271241;1408.6299817773263;1314.2951180230539;1301.619359285971;1281.456906294933;
Alcochete;1424.0;1395.6624;1340.6677327470238;0;0;
Almada;2006.1368919541987;1782.3358047203694;1667.0855574746997;1611.5358476919093;1569.5279597155297;
Barreiro;1274.660183289279;1226.0091019414806;1287.8410864120005;1381.8595467400476;1598.907545029609;
Moita;998.3661220044903;970.6188164594046;944.3571066875205;908.9035240115012;891.4996722118115;
Montijo;1427.0627151673923;1324.963936988249;1297.3247025411222;1256.5894150654499;1233.1344712438345;
Palmela;1361.8592545835363;1261.3887;1223.2837049167442;1187.572421728733;1158.320453925938;
Seixal;1535.4478792024067;2226.9844092657245;2301.257615785879;1840.8638470596634;3023.1556492430773;
Sesimbra;1588.0708123762759;1539.7371;1494.0053683929002;1484.9804617007876;1419.1945404339401;
Setubal;1396.1388382299692;1299.966119180535;1311.5059308963691;1297.0684879854007;1265.5137473939358;
