step,count_supply,gov_wealth,construction_wealth,company_wealth,bank_wealth,calculate_houses_prices_perm2,supply_volume,demand_volume,calculate_prices_in_supply,irs,vat,irc,subsidyRate,salaryRate,births,breakups,deaths,children_leaving_home
35,142,1.2171902338889024e8,3.643769509842341e7,6.023738112065273e7,4.107259390827936e7,1612.5614920170644,154,209,76663.90794327609,0.31,0.16,0.2,0.99,0.9299999999999999,188,3,76,271
36,150,1.2160301598025727e8,3.625769509842341e7,6.000042541337022e7,4.0767004181240804e7,1610.6284733828563,147,203,80889.45972160809,0.31,0.16,0.2,0.99,0.9099999999999999,193,3,80,278
37,146,1.2138916639497524e8,3.6792227979305804e7,5.981818834495617e7,4.014170809582918e7,1609.7367788794697,155,202,78095.98383449031,0.31,0.16,0.2,0.99,0.9099999999999999,197,3,82,284
38,142,1.2117734608985223e8,3.683633205706252e7,5.962709051807181e7,3.9544467874489285e7,1606.8569953392243,152,199,77043.10953981594,0.31,0.16,0.2,0.99,0.9099999999999999,203,3,85,291
39,145,1.2104817911073786e8,3.661283205706252e7,5.944684030991389e7,3.929643823734265e7,1604.2180217983023,146,195,79168.12648859252,0.31,0.16,0.2,0.99,0.9099999999999999,207,3,89,301
40,142,1.209625987471348e8,3.6720003408820756e7,5.925943245258209e7,3.901829491520173e7,1601.6436849850188,149,196,78161.50094757347,0.31,0.16,0.2,0.99,0.9099999999999999,212,3,90,307
41,147,1.2088547720441748e8,3.6452003408820756e7,5.9064732816556886e7,3.89239016082123e7,1599.113776736927,145,195,80745.13351421383,0.31,0.16,0.2,0.99,0.9099999999999999,217,3,91,310
42,148,1.206572715438977e8,3.6667402245859936e7,5.8875726312040046e7,3.85987889048899e7,1598.2885316579952,152,194,79789.4659282045,0.31,0.16,0.2,0.99,0.9099999999999999,222,3,95,318
43,143,1.204494032607442e8,3.675316534367831e7,5.867977646833795e7,3.79778410149243e7,1593.4916858063957,151,193,79235.69736115097,0.31,0.16,0.2,0.99,0.9099999999999999,227,3,98,322
44,142,1.2018524348483266e8,3.699999950868314e7,5.848368388687515e7,3.7762598588785216e7,1592.3384788440972,146,186,78350.46605811459,0.31,0.16,0.2,0.99,0.9099999999999999,229,3,99,332
45,140,1.2013406287346968e8,3.671349950868314e7,5.827449987696198e7,3.766049488615314e7,1589.2372452442714,144,188,78583.2770872079,0.31,0.16,0.2,0.99,0.9099999999999999,232,3,100,336
46,139,1.1996069628032579e8,3.655299950868314e7,5.806927188167779e7,3.75840225276636e7,1587.6841729979612,141,186,77937.80004277884,0.31,0.16,0.2,0.99,0.9099999999999999,236,4,100,340
47,142,1.198386807086079e8,3.649248670995323e7,5.786506004825486e7,3.748798522017738e7,1586.097168073927,144,190,79585.60566063948,0.31,0.16,0.2,0.99,0.9099999999999999,242,4,101,343
48,143,1.1966098393641114e8,3.700211517074011e7,5.764369593729157e7,3.727138454354968e7,1587.3313759505868,146,188,78862.40026663008,0.32,0.17,0.2,0.98,0.8899999999999999,244,4,105,353
49,144,1.1952461150071955e8,3.719885338878907e7,5.7448452228020184e7,3.715963302863642e7,1586.24741218818,147,188,79162.38237703512,0.32,0.17,0.2,0.98,0.8899999999999999,247,4,107,355
50,137,1.1939088909531255e8,3.717975338878907e7,5.7244433747973725e7,3.664446373087081e7,1581.5350830756643,146,186,77879.80964072443,0.32,0.17,0.2,0.98,0.8899999999999999,249,4,108,365
51,141,1.1928666151685667e8,3.697025338878907e7,5.7042417293604255e7,3.644591470609812e7,1579.822647161753,143,185,80137.65000499235,0.32,0.17,0.2,0.98,0.8899999999999999,257,4,111,368
52,143,1.1907734082731137e8,3.732965338878907e7,5.6835681499920435e7,3.626949024578068e7,1579.8404831323742,145,183,78894.0808685096,0.32,0.17,0.2,0.98,0.8899999999999999,263,4,113,372
53,145,1.1896765462287924e8,3.728965338878907e7,5.663205195463229e7,3.628159125164616e7,1579.3969680494415,146,184,78251.84564452621,0.32,0.17,0.2,0.98,0.8899999999999999,265,4,114,374
54,145,1.1874565509480159e8,3.744941285277554e7,5.642707185177208e7,3.623602287478495e7,1579.8403240871141,148,183,76953.53408463269,0.32,0.17,0.2,0.98,0.8899999999999999,268,4,117,374
55,143,1.1853002806133614e8,3.74834907662306e7,5.623953219063059e7,3.597062130934595e7,1579.3457627707276,147,179,76379.72249871079,0.32,0.17,0.2,0.98,0.8899999999999999,272,5,119,382
56,146,1.1833586033280204e8,3.73634907662306e7,5.604209564521067e7,3.571285368794583e7,1577.603970486459,147,182,78675.93974945265,0.32,0.17,0.2,0.98,0.8899999999999999,277,5,120,393
57,143,1.1828815016607076e8,3.757529566693146e7,5.58402207538792e7,3.537281147371149e7,1577.571694140511,148,183,76441.18882432603,0.32,0.17,0.2,0.98,0.8899999999999999,283,5,121,396
58,144,1.1808458704080401e8,3.7637083637672e7,5.564189382385497e7,3.50763571792577e7,1575.9211683076564,148,181,76619.75281783227,0.32,0.17,0.2,0.98,0.8899999999999999,285,5,124,397
59,146,1.1787539803465892e8,3.7535083637672e7,5.544438427895927e7,3.524007097948569e7,1575.9211683076564,144,177,76609.76001171341,0.32,0.17,0.2,0.98,0.8899999999999999,287,5,124,403
60,144,1.1780174441282968e8,3.7482083637672e7,5.522467798782179e7,3.507347525413191e7,1572.6718702522376,147,180,76846.92081305303,0.33,0.18000000000000002,0.2,0.97,0.8699999999999999,288,5,125,409
61,148,1.1770649862535545e8,3.7588383637672e7,5.503653535872311e7,3.474740167631834e7,1572.4570065138155,151,184,79084.2467580422,0.33,0.18000000000000002,0.2,0.97,0.8699999999999999,295,5,127,415
62,145,1.1763462510963953e8,3.7362383637672e7,5.484362246339863e7,3.4707065263922304e7,1572.2016986083133,149,182,78649.44079706256,0.33,0.18000000000000002,0.2,0.97,0.8699999999999999,298,5,127,417
63,142,1.1748824220652673e8,3.7380391637672e7,5.4655044780392855e7,3.47665702260172e7,1569.8057334694436,146,180,77867.7424379647,0.33,0.18000000000000002,0.2,0.97,0.8699999999999999,300,5,128,422
64,144,1.1734870436624318e8,3.73605647479e7,5.4457040830252975e7,3.4711022547640055e7,1569.904890129056,145,180,77335.59161943296,0.33,0.18000000000000002,0.2,0.97,0.8699999999999999,307,5,130,428
65,146,1.172400775688116e8,3.71740647479e7,5.425725890177348e7,3.479719631155448e7,1569.8119314985652,146,182,76945.42425524905,0.33,0.18000000000000002,0.2,0.97,0.8699999999999999,308,5,131,429
66,147,1.1704873979098842e8,3.7234021235186e7,5.406887150065089e7,3.4744711524227016e7,1569.3150410182639,148,183,76522.00598143833,0.33,0.18000000000000002,0.2,0.97,0.8699999999999999,312,5,132,433
67,153,1.1691598809893093e8,3.7071521235186e7,5.388290871907469e7,3.491196852350478e7,1569.3150410182639,150,185,77670.53941489357,0.33,0.18000000000000002,0.2,0.97,0.8699999999999999,317,5,133,437
68,156,1.167008300357807e8,3.6987521235186e7,5.369397928778661e7,3.426898432717064e7,1567.676537006574,162,193,78553.54154042505,0.33,0.18000000000000002,0.2,0.97,0.8699999999999999,325,6,136,439
69,151,1.1647914341476916e8,3.7040519608475156e7,5.3501742315847114e7,3.406856030824794e7,1566.423116392876,159,187,77935.63441830792,0.33,0.18000000000000002,0.2,0.97,0.8699999999999999,330,6,137,442
70,145,1.16292054752361e8,3.7063913946875155e7,5.3316870150775775e7,3.381628991125785e7,1562.2637743911337,153,183,77120.30930662199,0.33,0.18000000000000002,0.2,0.97,0.8699999999999999,333,6,138,446
71,144,1.1606904274096562e8,3.6985913946875155e7,5.312779589693349e7,3.371146445050022e7,1562.194770607722,149,179,75275.57072122378,0.33,0.18000000000000002,0.2,0.97,0.8699999999999999,338,6,140,451
72,143,1.1602107124809529e8,3.718372366026546e7,5.2924254218378864e7,3.336884317074425e7,1560.608904574128,146,180,76255.79191648113,0.34,0.19000000000000003,0.2,0.96,0.8499999999999999,341,6,140,453
73,144,1.1579875980559689e8,3.724899146604813e7,5.275336149970013e7,3.337991224677948e7,1560.6582176577808,145,174,75262.75926313463,0.34,0.19000000000000003,0.2,0.96,0.8499999999999999,344,6,142,463
74,149,1.1563879842802642e8,3.712199146604813e7,5.2578338321911596e7,3.3460518322640892e7,1559.1151740878065,149,179,77286.02443688331,0.34,0.19000000000000003,0.2,0.96,0.8499999999999999,349,6,144,470
75,148,1.1546692706395398e8,3.700599146604813e7,5.239966244469086e7,3.335818334929858e7,1559.1557931805437,153,182,75406.42462624771,0.34,0.19000000000000003,0.2,0.96,0.8499999999999999,355,6,147,475
76,153,1.1532747893767492e8,3.685999146604813e7,5.221158077077429e7,3.3440054460956313e7,1557.4662193680197,154,185,78200.95360025528,0.34,0.19000000000000003,0.2,0.96,0.8499999999999999,364,6,148,480
77,152,1.151725418184741e8,3.672949146604813e7,5.202685198654038e7,3.3257741046207126e7,1556.0136379715116,157,188,78128.4752633842,0.34,0.19000000000000003,0.2,0.96,0.8499999999999999,369,6,149,488
78,151,1.1516988335308267e8,3.644999146604813e7,5.183484114778418e7,3.32235678718004e7,1554.6976889413245,154,188,78322.96579644723,0.34,0.19000000000000003,0.2,0.96,0.8499999999999999,374,6,150,492
79,146,1.1502784437127209e8,3.663580050604813e7,5.1656531780345e7,3.2980049530040666e7,1552.7970881477615,154,188,75225.74654825004,0.34,0.19000000000000003,0.2,0.96,0.8499999999999999,382,6,150,498
80,150,1.1488696804734927e8,3.649830050604813e7,5.1472172701727964e7,3.31220957030028e7,1553.3886532239474,150,185,76999.62937389377,0.34,0.19000000000000003,0.2,0.96,0.8499999999999999,385,6,152,502
81,147,1.1473049047743076e8,3.650867898329295e7,5.128654191934022e7,3.2992606935048323e7,1551.381344048652,151,185,76815.89303515965,0.34,0.19000000000000003,0.2,0.96,0.8499999999999999,390,6,153,507
82,145,1.1454897201518734e8,3.641867898329295e7,5.1105817924401894e7,3.2938436535668347e7,1552.0519931299177,149,183,76290.30564691864,0.34,0.19000000000000003,0.2,0.96,0.8499999999999999,393,6,157,509
83,144,1.1435977158861972e8,3.632267898329295e7,5.091777942205414e7,3.302368759523471e7,1550.6807334454923,147,181,75380.94859756962,0.34,0.19000000000000003,0.2,0.96,0.8499999999999999,395,6,157,509
84,145,1.1423225182729967e8,3.634611395949295e7,5.072116806709441e7,3.298680159612099e7,1549.72963172459,146,181,75775.1922485793,0.35000000000000003,0.20000000000000004,0.2,0.95,0.8299999999999998,397,6,157,514
85,147,1.1410606885016114e8,3.619861395949295e7,5.0551766300444774e7,3.314135789431908e7,1548.6510904713853,148,182,76287.58328969157,0.35000000000000003,0.20000000000000004,0.2,0.95,0.8299999999999998,400,6,158,516
86,145,1.139220683673576e8,3.611461395949295e7,5.0393975181134835e7,3.307457132689566e7,1546.655626103304,148,181,76503.09424295391,0.35000000000000003,0.20000000000000004,0.2,0.95,0.8299999999999998,402,6,160,521
87,147,1.1378089985346037e8,3.627256024290038e7,5.022415472464991e7,3.3047252058462348e7,1546.3112339806112,147,182,76275.7251261857,0.35000000000000003,0.20000000000000004,0.2,0.95,0.8299999999999998,409,6,160,521
88,146,1.1359889822989643e8,3.6474685031109355e7,5.00595486293994e7,3.2975077447167672e7,1545.8655310915215,150,179,75913.22439185121,0.35000000000000003,0.20000000000000004,0.2,0.95,0.8299999999999998,411,7,162,524
89,147,1.1340663673652676e8,3.651980582480968e7,4.988750787872615e7,3.278351891077641e7,1545.8992652435434,149,179,76634.65137595554,0.35000000000000003,0.20000000000000004,0.2,0.95,0.8299999999999998,416,7,164,530
90,145,1.132354464581655e8,3.642630582480968e7,4.972067775818529e7,3.2675699667044103e7,1544.6228081702077,150,178,77682.19576119512,0.35000000000000003,0.20000000000000004,0.2,0.95,0.8299999999999998,422,7,166,538
91,145,1.1308369205864596e8,3.645611956655612e7,4.954766736521097e7,3.246475076588382e7,1542.7024576378085,151,179,78360.62651324995,0.35000000000000003,0.20000000000000004,0.2,0.95,0.8299999999999998,426,7,171,549
92,147,1.1315990094294123e8,3.627906838995612e7,4.936710078859723e7,3.2478277840465266e7,1542.3806042026183,147,179,78588.77953727484,0.35000000000000003,0.20000000000000004,0.2,0.95,0.8299999999999998,432,8,172,551
93,145,1.129745897362752e8,3.6652759681228496e7,4.918588285323783e7,3.2323277760367293e7,1541.732765959354,151,179,77119.63117578023,0.35000000000000003,0.20000000000000004,0.2,0.95,0.8299999999999998,433,8,175,555
94,145,1.1284038199546903e8,3.700849907220728e7,4.9004769485918514e7,3.220917361537211e7,1540.2221790325248,148,179,77117.30438502468,0.35000000000000003,0.20000000000000004,0.2,0.95,0.8299999999999998,440,8,175,557
95,146,1.126830932010872e8,3.691249907220728e7,4.882190410279599e7,3.230851439988305e7,1540.1498463428493,148,176,76401.70752180066,0.35000000000000003,0.20000000000000004,0.2,0.95,0.8299999999999998,445,8,177,557
96,146,1.1254839165018702e8,3.681049907220728e7,4.863469243950052e7,3.244863182559584e7,1539.4315033609269,147,174,76185.50265701863,0.36000000000000004,0.21000000000000005,0.2,0.94,0.8099999999999998,447,9,180,559
97,148,1.1240242096305144e8,3.670249907220728e7,4.8473493702070504e7,3.2514731119488154e7,1538.3530564961447,150,177,76915.13959795,0.36000000000000004,0.21000000000000005,0.2,0.94,0.8099999999999998,450,9,182,559
98,150,1.1224824416369772e8,3.660049907220728e7,4.831674172425326e7,3.259327488491836e7,1538.1318294613452,151,176,76943.9123790193,0.36000000000000004,0.21000000000000005,0.2,0.94,0.8099999999999998,454,9,183,563
99,154,1.1209409121940945e8,3.649849907220728e7,4.816142722060279e7,3.2526422141112622e7,1536.4969966936694,154,178,78328.06186299708,0.36000000000000004,0.21000000000000005,0.2,0.94,0.8099999999999998,458,9,186,565
100,154,1.119472178960275e8,3.641449907220728e7,4.800196639570908e7,3.242437535243362e7,1535.8969185345888,159,179,78904.88088896101,0.36000000000000004,0.21000000000000005,0.2,0.94,0.8099999999999998,464,9,188,567
101,157,1.1175404842883538e8,3.647407382768783e7,4.785178375314049e7,3.252169671524296e7,1535.521778904374,160,178,79457.5770567214,0.36000000000000004,0.21000000000000005,0.2,0.94,0.8099999999999998,471,9,189,568
102,158,1.1157978767942451e8,3.638407382768783e7,4.770761442692241e7,3.2545993165122826e7,1535.5566503327693,159,175,79313.76943308124,0.36000000000000004,0.21000000000000005,0.2,0.94,0.8099999999999998,474,9,193,570
103,162,1.1140319753269376e8,3.629407382768783e7,4.756417330199125e7,3.233425085388368e7,1535.4337705752246,163,177,80125.5015044603,0.36000000000000004,0.21000000000000005,0.2,0.94,0.8099999999999998,478,9,195,576
104,162,1.1121520286268479e8,3.621607382768783e7,4.741542848069412e7,3.229200160112049e7,1535.0910066415665,167,179,79829.72956396041,0.36000000000000004,0.21000000000000005,0.2,0.94,0.8099999999999998,481,9,197,580
105,165,1.1103952939395894e8,3.64208237217258e7,4.727492098670485e7,3.22132602400113e7,1535.3757950166935,167,177,80301.04850452176,0.36000000000000004,0.21000000000000005,0.2,0.94,0.8099999999999998,484,9,202,584
106,165,1.1080289520553076e8,3.6637779421464205e7,4.7138169298978664e7,3.1989739260473035e7,1535.0017260428724,169,176,79693.39129288019,0.36000000000000004,0.21000000000000005,0.2,0.94,0.8099999999999998,490,9,203,584
107,165,1.1057815010220782e8,3.6667692879588045e7,4.700606172076461e7,3.2001341651800994e7,1533.831220153803,168,173,80013.77480083627,0.36000000000000004,0.21000000000000005,0.2,0.94,0.8099999999999998,498,9,203,584
108,168,1.1039206259035788e8,3.6595692879588045e7,4.686104876039997e7,3.213282517594894e7,1533.4196350098314,168,171,80315.9937504158,0.37000000000000005,0.22000000000000006,0.2,0.9299999999999999,0.7899999999999998,500,10,204,588
109,165,1.101885385738491e8,3.668242764517804e7,4.674963870650698e7,3.2203525935271677e7,1530.8715708400794,169,174,79934.63850245652,0.37000000000000005,0.22000000000000006,0.2,0.9299999999999999,0.7899999999999998,505,10,204,595
110,159,1.0999415267149371e8,3.7103744329722404e7,4.663260407375516e7,3.2074252457186095e7,1529.6376022178983,166,175,78439.47814754244,0.37000000000000005,0.22000000000000006,0.2,0.9299999999999999,0.7899999999999998,509,10,204,599
111,160,1.0979841546475479e8,3.7031744329722404e7,4.651907121704091e7,3.2075029938679293e7,1529.5024285588556,161,170,77932.71923577962,0.37000000000000005,0.22000000000000006,0.2,0.9299999999999999,0.7899999999999998,509,10,206,601
112,164,1.095951546398438e8,3.7118765776813895e7,4.640601632769738e7,3.2223615478212863e7,1529.2105640073482,163,170,78617.66155077386,0.37000000000000005,0.22000000000000006,0.2,0.9299999999999999,0.7899999999999998,515,10,208,604
113,164,1.0938160590762444e8,3.7064765776813895e7,4.6291789012306765e7,3.2416040018792182e7,1529.2105640073482,164,171,77840.22883770517,0.37000000000000005,0.22000000000000006,0.2,0.9299999999999999,0.7899999999999998,517,10,208,610
114,165,1.0917115679440303e8,3.7127323837189406e7,4.617024901410634e7,3.2492681813796874e7,1527.972889302809,167,176,77904.00576210322,0.37000000000000005,0.22000000000000006,0.2,0.9299999999999999,0.7899999999999998,519,10,209,612
115,170,1.0895040888866396e8,3.7079323837189406e7,4.605996658107257e7,3.2657305452328224e7,1528.390555462655,171,177,79228.39611869068,0.37000000000000005,0.22000000000000006,0.2,0.9299999999999999,0.7899999999999998,524,10,213,613
116,171,1.0877477909395468e8,3.7031323837189406e7,4.59485703041292e7,3.2477281967120945e7,1527.2420558011063,177,180,78229.3482521537,0.37000000000000005,0.22000000000000006,0.2,0.9299999999999999,0.7899999999999998,528,10,216,617
117,174,1.0850138195394504e8,3.6983323837189406e7,4.583834485451951e7,3.250716601273903e7,1526.918029531107,175,180,78674.8596140603,0.37000000000000005,0.22000000000000006,0.2,0.9299999999999999,0.7899999999999998,531,10,216,619
118,173,1.082703984056078e8,3.708787778082028e7,4.573061096466478e7,3.246668835592915e7,1526.4036022004955,176,179,77426.53247273676,0.37000000000000005,0.22000000000000006,0.2,0.9299999999999999,0.7899999999999998,533,11,218,624
119,178,1.0803464826597226e8,3.719772177484271e7,4.562623493318225e7,3.239115672856867e7,1523.934539685814,178,181,80854.19599991487,0.37000000000000005,0.22000000000000006,0.2,0.9299999999999999,0.7899999999999998,538,12,221,626
120,176,1.0778084751670195e8,3.719172177484271e7,4.550583456194109e7,3.2272237116169844e7,1522.2257189706602,181,179,80180.63282186227,0.38000000000000006,0.23000000000000007,0.2,0.9199999999999999,0.7699999999999998,544,12,223,632
121,178,1.0751408339138147e8,3.72524679046426e7,4.54142803518809e7,3.238195038935333e7,1521.6086173558426,180,179,81574.1127250623,0.38000000000000006,0.23000000000000007,0.2,0.9199999999999999,0.7699999999999998,547,12,224,641
122,176,1.0724543633495714e8,3.72524679046426e7,4.531357229145678e7,3.238906087649614e7,1521.2162616521166,180,179,80159.8965084243,0.38000000000000006,0.23000000000000007,0.2,0.9199999999999999,0.7699999999999998,548,13,226,643
123,176,1.0713020554918589e8,3.7175819073995784e7,4.521503450607315e7,3.247150567981965e7,1519.5919976784319,179,182,80600.11801141786,0.38000000000000006,0.23000000000000007,0.2,0.9199999999999999,0.7699999999999998,552,13,226,645
124,176,1.069113644524208e8,3.7128819073995784e7,4.511647844002654e7,3.2649592883694272e7,1518.5850070910637,177,181,80108.44186640029,0.38000000000000006,0.23000000000000007,0.2,0.9199999999999999,0.7699999999999998,554,13,227,647
125,174,1.0664120701795784e8,3.720529346893578e7,4.502221079968046e7,3.2514728220567577e7,1516.9611473491493,181,183,79651.54466151416,0.38000000000000006,0.23000000000000007,0.2,0.9199999999999999,0.7699999999999998,560,13,230,649
126,171,1.0637100721722801e8,3.7546832458304696e7,4.492811339156737e7,3.2430602126417413e7,1515.4512595349927,176,178,78436.86424761904,0.38000000000000006,0.23000000000000007,0.2,0.9199999999999999,0.7699999999999998,564,13,231,656
127,170,1.0616879171672167e8,3.7480332458304696e7,4.483512445994557e7,3.2347098462236453e7,1515.3512655748239,174,180,77364.77386066977,0.38000000000000006,0.23000000000000007,0.2,0.9199999999999999,0.7699999999999998,571,13,231,662
128,169,1.0605799207841647e8,3.738517389535584e7,4.473195345459279e7,3.249978637734735e7,1514.9956007156013,170,179,76772.20869068922,0.38000000000000006,0.23000000000000007,0.2,0.9199999999999999,0.7699999999999998,572,13,231,665
129,169,1.0588959342786427e8,3.728667389535584e7,4.463689788224215e7,3.2606483806817498e7,1514.6445811823817,170,181,76366.31343632222,0.38000000000000006,0.23000000000000007,0.2,0.9199999999999999,0.7699999999999998,578,13,231,665
130,171,1.0561949034343205e8,3.728667389535584e7,4.45389442282157e7,3.2713247336177483e7,1514.3100719848546,173,184,76216.81704339379,0.38000000000000006,0.23000000000000007,0.2,0.9199999999999999,0.7699999999999998,584,13,231,673
131,170,1.0553780894779655e8,3.710667389535584e7,4.443706403505329e7,3.2836437970469896e7,1513.9057168281088,171,186,75265.87004048508,0.38000000000000006,0.23000000000000007,0.2,0.9199999999999999,0.7699999999999998,585,13,231,675
132,171,1.0534780465490721e8,3.705517389535584e7,4.431392086934671e7,3.2943278339076497e7,1513.7488782911157,172,188,74791.8723152054,0.39000000000000007,0.24000000000000007,0.2,0.9099999999999999,0.7499999999999998,588,13,231,682
