-;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;
Amadora;1708.4185327356531;1674.4989296477606;1600.737063056874;1555.747554805473;1549.015799136909;
Cascais;2744.5660075794385;2861.8566411123315;2534.464562187492;2554.7218757161054;3567.241652492252;
Lisboa;2986.465596444097;3088.7804402588463;2867.2350004484992;2975.596540262441;2673.0846725662955;
Loures;1667.0;1673.5312148146845;1586.0740894813184;1545.44494976865;1506.2288815703207;
Mafra;1620.9491549291738;1582.757154559462;1531.2734239752058;1513.9527342866627;1445.662361416941;
Odivelas;2136.2871357909858;1966.246420512749;2000.564739250773;1790.1507127499567;1779.5038583812889;
Oeiras;2696.0109783693238;3438.778818229378;4528.074052096019;6383.864255315289;7406.664662239032;
Sintra;1901.9228899326783;2346.0478167371875;2742.869674971103;3074.894332650481;3208.5073966283644;
VilaFrancaDeXira;1781.7521468292282;1434.3037049442503;1481.1390046968531;1273.300306042698;1268.4974806794623;
Alcochete;1416.88;1388.882849766521;1351.2634528028716;1412.3714863867078;1274.9616740644121;
Almada;1735.47;1715.3873366757714;1667.0855574747002;1628.3283570853396;1569.5279597155297;
Barreiro;1277.3094075324016;1214.096656704215;1254.2975403428152;1352.2512226065724;1453.3909105263356;
Moita;996.0018291491189;970.3643908162023;937.9261171085036;924.4260764701523;881.9081804448357;
Montijo;1408.4846861145131;1336.8564000000001;1292.9403009651699;1259.3625867855264;1224.3672716807787;
Palmela;1455.524060176391;1333.9866420288413;1211.6849522790872;1187.572421728733;1152.8700554076179;
Seixal;1527.6840347148293;1958.3738737841513;2856.444816801635;1663.1436080990184;2570.413945350364;
Sesimbra;1585.6817307313609;1541.2682019682982;1493.2155078792061;1485.4948390020597;1417.114049334752;
Setubal;1399.0184196108314;1295.911591065939;1254.4470008401108;1262.8985915997332;1260.9034166341414;
