-;2021Q1;
Amadora;1594.8791190679813;
Cascais;4249.011336570777;
Lisboa;5541.875662496771;
Loures;2164.4304758903736;
Mafra;2180.9850197387286;
Odivelas;2740.4227026498625;
Oeiras;2042.7907593408106;
Sintra;1648.609497981186;
VilaFrancaDeXira;2616.934011672192;
Alcochete;1329.7261386249968;
Almada;1332.146262768647;
Barreiro;1021.6883584168097;
Moita;1228.421864487517;
Montijo;1168.4772768409887;
Palmela;958.1642146343866;
Seixal;1134.5297201526146;
Sesimbra;1577.946831936275;
Setubal;1361.4619526398433;
