-;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2;2026Q3;2026Q4;2027Q1;2027Q2;2027Q3;2027Q4;2028Q1;2028Q2;2028Q3;2028Q4;2029Q1;
Amadora;1277.0591338779618;1497.2292689244557;0;1177.6481344488716;0;0;2053.7283697732278;0;1426.4721750574945;1399.869597614032;0;0;1739.7409821791555;1756.0219361182815;2104.603708255612;0;0;2100.448050909932;0;0;1625.2391726616859;0;0;1490.6635377269215;0;0;0;1390.9602224238554;1239.5061927043243;0;745.4712274496626;1729.1251648995262;1467.1440312170657;
Cascais;2248.6539768150606;0;2459.8463464426077;4251.896440581793;0;0;2737.6824196437847;0;1432.1319581924788;1392.1798754907152;1809.3263471674718;1849.2059868543622;1642.065868274196;0;0;1168.8035532733545;1496.1455148282098;0;1054.68251669094;0;0;989.6398361757095;1370.3708859404155;1199.2347736504921;0;871.6075294096304;1514.7640553605995;1587.3978451622675;797.6839868207288;0;0;716.1977186248992;2741.2807798646154;
Lisboa;2620.1731165283454;2744.0421547333613;0;0;3796.510375862331;2945.6174283981627;3043.6413111479064;1477.7403217903368;1452.3142353702701;1411.9825498329385;1388.3203641565278;1853.0136724471186;0;1937.0595869555345;3012.0876483951047;1985.4238994374812;0;0;0;2445.8794210920278;1628.617671006762;1476.2719307880602;2163.0526295184263;1667.0484893100643;1786.3941158227358;1450.6341423209537;2113.412985086203;1496.2963371885526;1435.5346819499873;1443.1098853456585;1674.0594659050114;1901.6128006270797;1429.2077918188188;
Loures;2401.550854615391;2279.4629539658144;2261.1429015564327;0;0;2577.224759630506;0;1917.209405783737;1435.087652858149;1400.1569387201555;1374.1340276260773;0;0;1268.3052971222776;0;1176.5470498773075;0;1117.178595934119;0;0;996.7640672175712;1222.5397126015682;0;1350.8143166042796;1378.2721542953973;0;0;1419.0782145984151;1452.1541345858811;1417.5872976289193;1364.9049423299675;0;1413.5327911678671;
Mafra;2053.1028757958175;2159.6272010410235;0;1909.8776632648458;0;1590.678111323709;0;0;0;1376.0908565611558;1578.047325314285;0;1198.844349542053;0;0;0;0;0;1738.6911113414994;1251.1876161561138;0;0;0;1275.694576247725;0;0;0;1372.7790251999998;1358.254471420961;0;1393.0435211546915;0;0;
Odivelas;2282.4582810355396;2315.1090375088706;2445.4971448691667;2174.885602687066;1994.4741044796322;0;2070.535963067051;2145.134122601501;2129.494743919086;0;1852.5511405235554;1619.8864370847086;0;1969.1779843919496;0;1685.4959515462447;1423.1871340150033;1267.7520903987368;1404.6889396760973;0;1338.570447993372;0;0;0;0;868.2457771151844;0;1131.7411694997286;0;981.8075713528789;0;968.5183900023842;0;
Oeiras;2972.7594044699053;2639.714301758632;2058.952511948429;2633.5846262333407;2338.9220285626766;2104.369669462437;2457.0504229685193;2274.841780195132;0;1845.3116928222153;0;2374.1291935089034;1951.9227587618732;0;2025.3038593398958;1816.9909014428324;1714.0676023453132;0;0;0;1760.3435212738227;1809.8770944865753;0;1782.6175228764764;1756.4312738550584;1736.185881001201;1685.3038891653487;1566.5038645373081;2335.5117329682107;0;1598.0716471341054;0;1443.6874999295908;
Sintra;1821.9539967081867;1371.1938032054388;1606.046109439516;1478.7109253886756;1439.3374192419465;1732.04565236041;1300.1820540369329;1592.3230801392197;1663.206947255644;1576.7993385962204;1532.1149872409396;1639.0632546465329;1444.8323112582489;1680.392403335046;1574.2294722519887;0;1386.7196542324068;1798.183073236666;1134.0161892472229;1093.0622047697702;1174.008821245299;1015.5084913898013;1200.9204467294362;929.1677251465377;1558.1421025850855;0;0;0;0;0;0;0;0;
VilaFrancaDeXira;1585.248537265065;1194.9063417563493;1043.7761192154994;0;969.4638089042951;1164.427430169979;984.3029689659704;862.634130862208;939.4442684899711;806.6849626881834;0;0;0;779.1687788707715;0;0;0;0;0;0;0;0;591.4280465424712;0;0;0;0;0;0;0;0;0;0;
Alcochete;0;0;0;0;0;0;0;0;1436.7293723251585;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Almada;1150.4830263786373;0;0;0;1397.2730084653663;2810.3428447690344;0;0;1420.2919322422333;1403.5734661787217;1401.6820361469029;1333.4638415824325;0;1506.3748382879412;1768.68451898344;1359.4622930681128;0;1519.5062827779036;0;1016.7157794153597;1590.1136484742865;0;970.0023344219418;926.8314612777453;0;862.660372626063;0;1489.3710185360326;1190.1323804504823;0;0;1002.72756747231;0;
Barreiro;1394.1896333603995;0;0;0;0;0;1798.4854399373394;985.8068694701623;1421.3100646369464;1383.0163954349346;1397.4193548387098;1321.3886547462832;1147.663099775982;1572.3424156824544;1521.5727963886734;1164.2527099703493;0;1271.0039979730238;0;0;0;0;933.8939175261435;0;867.5969544633717;0;1191.4665173676494;0;1114.589543764886;1194.8795175986272;0;1014.372865201577;0;
Moita;945.7681242037656;1180.6272720443428;0;0;0;0;0;0;937.154614578885;0;1018.8260578709774;0;0;0;0;617.9235402043009;437.70838558319315;0;0;0;0;0;0;930.2184699869161;0;0;0;0;0;0;0;0;0;
Montijo;1532.754108698148;1452.712709109905;1259.2435186856635;0;1374.9203217755787;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;497.9228098127557;
Palmela;1616.7112558034971;856.8453859219194;873.6164939919156;833.7056809947804;0;1484.3231247910023;0;1370.789858174866;0;1091.1145906162076;0;0;777.4309447557255;1434.7101867200427;0;0;0;0;0;712.838385643563;699.736658717199;0;757.0433930695104;0;0;0;659.4688268837687;614.9598554691205;0;649.3594686540603;0;0;0;
Seixal;2151.894331566992;1732.1677309831591;1388.907124355002;1283.48003867258;1731.8843332237523;1784.1995558355893;1405.0904332090872;0;1140.0335999059546;1165.811968796169;0;959.4518871003785;1570.8109017531533;0;1663.316137956502;1903.1495894523866;0;0;1782.805880071792;1953.908627551008;0;0;1759.9191753204575;0;0;0;0;0;0;0;629.2944720297462;0;0;
Sesimbra;0;0;1477.52701956075;0;0;0;0;1956.1834353968873;1539.3930582752917;0;1483.5853490575087;0;1003.3524723647214;0;0;1710.483552547288;0;0;0;0;0;0;0;0;0;0;0;505.9231705346947;0;0;0;0;0;
Setubal;1290.155174174195;1198.570293062328;0;1302.4003001330425;973.2195567078082;1123.1216472456717;1081.3140561649227;1144.7972889878683;1101.732818525347;1306.511446501713;0;1355.6526924461618;0;0;1592.6278930557578;1660.6094481330515;1135.6394019830132;1017.4919696851514;0;667.7741015339376;1389.6480074176957;0;0;0;0;0;0;0;0;0;0;0;0;
