-,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,
Amadora,560,108,29,18,16,8,16,17,14,4,5,10,
Cascais,434,76,29,11,14,14,11,19,14,9,12,5,
Lisboa,1110,232,82,61,49,27,24,31,21,21,15,18,
Loures,503,121,21,12,11,10,14,12,5,7,10,6,
Mafra,151,35,3,0,2,0,3,1,5,1,3,4,
Odivelas,341,79,22,6,22,13,17,16,12,12,9,17,
Oeiras,384,80,20,10,9,10,7,9,7,6,5,6,
Sintra,955,155,28,10,13,15,14,16,14,9,11,11,
VilaFrancaDeXira,311,56,13,12,7,5,10,0,4,5,8,4,
Alcochete,40,10,2,2,0,1,0,0,0,0,1,0,
Almada,439,89,28,16,6,7,11,4,12,10,4,9,
Barreiro,216,22,5,5,10,7,2,0,2,2,1,4,
Moita,184,26,5,2,2,9,1,4,0,2,5,2,
Montijo,145,31,8,5,1,4,5,3,3,0,3,2,
Palmela,105,13,2,1,3,1,6,3,1,0,2,0,
Seixal,303,54,9,9,10,15,8,3,11,9,4,7,
Sesimbra,69,15,5,5,1,2,2,3,1,0,3,5,
Setubal,294,45,9,4,7,8,8,6,4,14,5,3,
