-,2021,2022,2023,
Amadora,11358,905,524,
Cascais,8737,921,635,
Lisboa,23589,2081,1191,
Loures,10436,747,445,
Mafra,3002,95,207,
Odivelas,7116,1080,794,
Oeiras,7847,556,381,
Sintra,18236,921,715,
VilaFrancaDeXira,6227,349,334,
Alcochete,858,16,16,
Almada,9086,445,556,
Barreiro,3939,302,143,
Moita,3447,254,143,
Montijo,3002,207,127,
Palmela,1922,207,48,
Seixal,5957,572,492,
Sesimbra,1493,127,143,
Setubal,5591,461,413,
