step;sum_wealth_household;sum_houses_household;count_isHousehold;count_isHouseholdHomeOwner;count_isHouseholdTenant;count_isHouseholdLandlord;count_isHouseholdMultipleHomeOwner;wealth_distribution_household;money_distribution_household;size_distribution_household;age_distribution_household
0;2.57105e6;187;200;121;0;0;28;Any[4450.0, 4650.0, 4650.0, 5050.0, 5300.0, 5450.0, 5450.0, 5500.0, 5600.0, 5650.0, 5850.0, 6000.0, 6000.0, 6000.0, 6050.0, 6050.0, 6100.0, 6300.0, 6400.0, 6650.0, 6700.0, 6900.0, 6900.0, 7300.0, 7400.0, 7600.0, 7600.0, 7600.0, 7700.0, 7700.0, 7850.0, 8000.0, 8050.0, 8100.0, 8100.0, 8200.0, 8200.0, 8250.0, 8300.0, 8300.0, 8400.0, 8700.0, 8800.0, 8800.0, 8850.0, 8900.0, 9000.0, 9000.0, 9200.0, 9250.0, 9300.0, 9300.0, 9300.0, 9400.0, 9500.0, 9600.0, 9700.0, 9700.0, 9700.0, 9700.0, 9750.0, 9800.0, 9850.0, 9850.0, 9900.0, 9900.0, 9950.0, 10000.0, 10000.0, 10000.0, 10000.0, 10100.0, 10150.0, 10200.0, 10300.0, 10300.0, 10350.0, 10400.0, 10400.0, 10500.0, 10500.0, 10500.0, 10600.0, 10800.0, 10800.0, 10800.0, 10900.0, 11000.0, 11000.0, 11050.0, 11050.0, 11300.0, 11400.0, 11500.0, 11550.0, 11600.0, 11800.0, 11800.0, 11900.0, 11900.0, 11950.0, 12100.0, 12100.0, 12300.0, 12350.0, 12350.0, 12450.0, 12500.0, 12600.0, 12600.0, 12700.0, 12700.0, 12750.0, 12800.0, 12950.0, 13000.0, 13000.0, 13050.0, 13050.0, 13100.0, 13400.0, 13400.0, 13400.0, 13550.0, 13800.0, 13950.0, 13950.0, 14000.0, 14000.0, 14000.0, 14000.0, 14250.0, 14300.0, 14300.0, 14300.0, 14550.0, 14600.0, 14600.0, 14600.0, 14800.0, 15400.0, 15500.0, 15550.0, 15600.0, 15750.0, 15750.0, 16000.0, 16150.0, 16150.0, 16150.0, 16300.0, 16350.0, 16600.0, 16600.0, 16700.0, 16700.0, 16900.0, 17100.0, 17400.0, 17900.0, 18000.0, 18100.0, 18150.0, 18300.0, 18350.0, 18400.0, 18450.0, 18500.0, 18900.0, 19250.0, 19450.0, 19600.0, 19700.0, 19800.0, 19900.0, 19900.0, 20000.0, 20050.0, 20150.0, 20200.0, 20400.0, 20400.0, 20450.0, 20500.0, 20800.0, 21900.0, 22000.0, 22000.0, 22200.0, 22300.0, 22600.0, 22900.0, 23150.0, 23300.0, 23400.0, 24000.0, 24000.0, 24350.0, 24550.0, 24550.0];Any[4450.0, 4650.0, 4650.0, 5050.0, 5300.0, 5450.0, 5450.0, 5500.0, 5600.0, 5650.0, 5850.0, 6000.0, 6000.0, 6000.0, 6050.0, 6050.0, 6100.0, 6300.0, 6400.0, 6650.0, 6700.0, 6900.0, 6900.0, 7300.0, 7400.0, 7600.0, 7600.0, 7600.0, 7700.0, 7700.0, 7850.0, 8000.0, 8050.0, 8100.0, 8100.0, 8200.0, 8200.0, 8250.0, 8300.0, 8300.0, 8400.0, 8700.0, 8800.0, 8800.0, 8850.0, 8900.0, 9000.0, 9000.0, 9200.0, 9250.0, 9300.0, 9300.0, 9300.0, 9400.0, 9500.0, 9600.0, 9700.0, 9700.0, 9700.0, 9700.0, 9750.0, 9800.0, 9850.0, 9850.0, 9900.0, 9900.0, 9950.0, 10000.0, 10000.0, 10000.0, 10000.0, 10100.0, 10150.0, 10200.0, 10300.0, 10300.0, 10350.0, 10400.0, 10400.0, 10500.0, 10500.0, 10500.0, 10600.0, 10800.0, 10800.0, 10800.0, 10900.0, 11000.0, 11000.0, 11050.0, 11050.0, 11300.0, 11400.0, 11500.0, 11550.0, 11600.0, 11800.0, 11800.0, 11900.0, 11900.0, 11950.0, 12100.0, 12100.0, 12300.0, 12350.0, 12350.0, 12450.0, 12500.0, 12600.0, 12600.0, 12700.0, 12700.0, 12750.0, 12800.0, 12950.0, 13000.0, 13000.0, 13050.0, 13050.0, 13100.0, 13400.0, 13400.0, 13400.0, 13550.0, 13800.0, 13950.0, 13950.0, 14000.0, 14000.0, 14000.0, 14000.0, 14250.0, 14300.0, 14300.0, 14300.0, 14550.0, 14600.0, 14600.0, 14600.0, 14800.0, 15400.0, 15500.0, 15550.0, 15600.0, 15750.0, 15750.0, 16000.0, 16150.0, 16150.0, 16150.0, 16300.0, 16350.0, 16600.0, 16600.0, 16700.0, 16700.0, 16900.0, 17100.0, 17400.0, 17900.0, 18000.0, 18100.0, 18150.0, 18300.0, 18350.0, 18400.0, 18450.0, 18500.0, 18900.0, 19250.0, 19450.0, 19600.0, 19700.0, 19800.0, 19900.0, 19900.0, 20000.0, 20050.0, 20150.0, 20200.0, 20400.0, 20400.0, 20450.0, 20500.0, 20800.0, 21900.0, 22000.0, 22000.0, 22200.0, 22300.0, 22600.0, 22900.0, 23150.0, 23300.0, 23400.0, 24000.0, 24000.0, 24350.0, 24550.0, 24550.0];Any[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6];Any[20, 20, 20, 21, 21, 21, 22, 22, 22, 23, 23, 24, 24, 24, 24, 25, 25, 25, 26, 26, 26, 26, 27, 27, 27, 27, 28, 28, 28, 28, 28, 29, 29, 30, 31, 31, 31, 32, 32, 32, 32, 32, 33, 34, 34, 34, 34, 34, 35, 35, 36, 36, 37, 38, 38, 38, 38, 38, 38, 39, 39, 39, 39, 39, 39, 40, 40, 40, 40, 40, 40, 40, 40, 41, 41, 41, 41, 41, 42, 42, 42, 43, 43, 43, 43, 44, 44, 44, 44, 44, 44, 44, 44, 44, 45, 45, 45, 45, 45, 45, 46, 46, 46, 46, 47, 47, 47, 48, 48, 48, 49, 49, 50, 50, 52, 53, 53, 53, 54, 54, 54, 54, 54, 55, 55, 55, 55, 56, 57, 57, 57, 57, 57, 57, 58, 60, 60, 60, 60, 61, 62, 63, 63, 63, 63, 64, 64, 64, 64, 64, 66, 67, 68, 69, 70, 71, 72, 73, 73, 75, 77, 77, 77, 79, 80, 82, 82, 83, 83, 84, 85, 86, 86, 87, 87, 88, 90, 90, 90, 91, 92, 92, 93, 94, 96, 96, 96, 97, 97, 97, 97, 98, 99, 99, 99, 99, 99, 100, 100, 100]
1;2.886395186642787e6;147;200;113;27;17;21;Any[814.4645632902393, 1011.5542154535797, 5511.589233115143, 5714.740285491903, 5979.001876578634, 6247.189726851294, 6452.550708656266, 6818.672598161596, 7073.873347271028, 7204.5119484971965, 7608.980359297009, 7932.425436655571, 8165.19549084115, 8351.662585330707, 8601.47045976534, 8704.983345232387, 8900.562060798511, 9035.29416167343, 9126.52468694363, 9252.711400612388, 9310.690182738857, 9451.374887043983, 9516.597911772362, 9625.800534511545, 9722.56486491447, 9762.778137291347, 9793.459927910573, 10033.984905703983, 10035.11447700153, 10225.262505710123, 10301.17913525828, 10360.18100671723, 10708.300843724515, 10738.430936492321, 10822.478729201106, 10831.000002762003, 10883.29250093698, 10965.146446730723, 11090.346589828587, 11255.051853503388, 11375.204115756576, 11381.666094244038, 11466.420477472788, 11852.504718254542, 11916.289876672568, 11920.876897355789, 12340.703368475326, 13030.399041535933, 13252.126002851055, 13511.451168540862, 13523.24451734266, 13567.49512332959, 13587.712511424596, 13785.542097276219, 14269.992326143343, 14407.2925823404, 14456.652081740272, 14629.972112576386, 14851.31697130194, 14860.775976745394, 14920.295220210526, 15096.709447054853, 15498.634111930456, 16171.768988129272, 16243.852880196497, 16487.034796283086, 17090.85729825897, 18572.847347021627, 18971.778257783855, 19568.484291272107, 20278.107487921527, 20498.091069737442, 20572.801768876925, 20781.482429729604, 21476.198819461304, 22659.471886385054, 23321.40407045729, 24520.659467730424, 25559.211406655148, 53704.3342745688, 65545.19148928908, 68477.76442747086, 79754.06726758553, 80004.92096599306, 82022.66835797529, 89031.4676406414, 90055.51576012236, 90513.57682458722, 90605.44663494245, 91760.7625448427, 92465.25843575661, 93656.58396275189, 93957.36726527018, 96559.03570786228, 97602.28045095783, 101443.44794370153, 102801.70680595486, 103502.39367133605, 110774.32724417266, 111665.98506356546, 113424.04088242866, 116998.44740102891, 117372.67496712491, 118504.74977778477, 120701.56100995613, 120910.56324628263, 125435.71995854449, 129521.54888383306, 130215.04463639382, 130280.07241878152, 132700.3685295754, 133873.97160342115, 133898.56175104843, 134339.32877355732, 136911.97597476005, 137456.6284348037, 144198.22979513987, 152846.9331188541, 154125.01028247445, 158915.56712541566, 164523.41750815595, 166866.17918330102, 167475.2308200393, 176105.56782850443, 176943.678084155, 182507.74432577437, 195298.7966004115, 197150.87490375043, 205125.76498819227, 210101.7310570857, 211067.65469243744, 213111.79588717446, 213257.19628632476, 213412.79413282874, 213662.74207469242, 214671.91466799562, 216540.2742362684, 216545.1625342354, 216772.70278149738, 219107.98090504875, 219322.27989703548, 221242.57579748603, 223980.7448826988, 224101.02264953635, 233313.32296597896, 233514.75593625818, 235339.72025758427, 235565.47641537903, 246167.8712597896, 248441.23128675087, 250114.1686999875, 251057.1443730869, 258991.8507555514, 260080.3843893681, 265919.6490774714, 269441.38751053903, 273041.99997361144, 275293.9132973472, 277664.1994709987, 279464.5029015682, 282754.53697685024, 288586.0393396451, 290864.4267852861, 300790.5968875224, 301842.9617909303, 303057.5452965802, 304344.9764723977, 324950.3725708934, 330812.4490994822, 335565.917474499, 336845.97473576234, 346736.9796083636, 350529.683677539, 363756.20715224894, 399177.8293233011, 406430.7136782696, 408230.54993945366, 427057.3476104197, 434290.97839455074, 447446.28947415657, 469128.2686265945, 469171.15095270454, 483130.31150293804, 483529.8575891635, 499722.3227848767, 517238.94696760626, 527850.2393398657, 536748.3048267872, 547161.5830841159, 586065.4252197078, 598035.8844356659, 609751.371329842, 627551.6466504164, 698053.6416765689, 739150.0883089965, 769839.9506527405, 846400.4881161131, 861427.4008623082, 955547.1907246646, 1.0230949061197516e6];Any[814.4645632902393, 920.1914892890782, 1011.5542154535797, 4572.545296580167, 4815.258435756611, 5058.548883833058, 5262.322784876695, 5511.589233115143, 5570.067267585526, 5714.740285491903, 5926.039339645126, 5979.001876578634, 6006.583962751889, 6039.417508155951, 6247.189726851294, 6275.649077471393, 6307.367265270178, 6386.706805954864, 6452.550708656266, 6608.920965993066, 6818.672598161596, 6902.678084154992, 7073.873347271028, 7133.985063565462, 7204.5119484971965, 7415.719958544494, 7505.044636393826, 7608.980359297009, 7772.449099482216, 7932.425436655571, 8014.713678269603, 8057.980905048743, 8165.19549084115, 8204.426785286094, 8272.279897035489, 8335.596887522364, 8351.662585330707, 8382.179183301012, 8450.94696760623, 8601.47045976534, 8609.764988192266, 8704.983345232387, 8900.562060798511, 9035.29416167343, 9056.979608363597, 9110.230820039302, 9126.52468694363, 9252.711400612388, 9310.690182738857, 9387.96179093029, 9451.374887043983, 9516.597911772362, 9625.800534511545, 9722.56486491447, 9762.778137291347, 9793.459927910573, 9814.549939453675, 9837.162534235398, 9973.913297347175, 10033.984905703983, 10035.11447700153, 10070.040882428651, 10137.239339865759, 10164.3342745688, 10174.857589163512, 10225.262505710123, 10242.829323301065, 10259.731057085699, 10301.17913525828, 10351.850755551404, 10360.18100671723, 10491.58308411586, 10538.563246282625, 10708.300843724515, 10717.971603421154, 10724.328773557316, 10738.430936492321, 10755.40086230816, 10761.646650416471, 10822.478729201106, 10831.000002762003, 10883.29250093698, 10965.146446730723, 10997.8712597896, 11090.346589828587, 11139.749777784782, 11252.196286324754, 11255.051853503388, 11308.3685295754, 11375.204115756576, 11381.666094244038, 11407.79413282873, 11466.420477472788, 11803.755936258187, 11852.504718254542, 11916.289876672568, 11920.876897355789, 12229.720257584255, 12246.933118854096, 12340.703368475326, 12345.322965978976, 12502.57579748604, 12505.22979513988, 12539.978394550764, 12560.144373086896, 12666.914667995616, 12849.683677538982, 12869.654692437445, 12930.744882698822, 12945.274236268402, 13030.399041535933, 13160.488116113169, 13252.126002851055, 13260.874903750435, 13336.561009956127, 13394.795887174461, 13511.451168540862, 13523.24451734266, 13525.010282474466, 13553.576824587215, 13567.49512332959, 13587.712511424596, 13644.447401028907, 13785.542097276219, 13940.072418781523, 14002.347610419667, 14254.199470998745, 14267.190724664573, 14269.992326143343, 14407.2925823404, 14456.652081740272, 14515.425219707728, 14561.387510539056, 14597.476415379022, 14629.972112576386, 14851.31697130194, 14860.775976745394, 14920.295220210526, 15039.95065274054, 15096.709447054853, 15361.022649536357, 15498.634111930456, 15880.384389368099, 16107.744325774378, 16171.768988129272, 16243.852880196497, 16335.884435665906, 16487.034796283086, 16505.446634942444, 16810.372570893407, 17013.268626594483, 17090.85729825897, 17163.641676568863, 17235.289474156598, 17236.31150293802, 17254.371329842048, 17255.53697685025, 17336.231286750877, 17364.99997361145, 18315.567125415666, 18478.035707862273, 18555.515760122362, 18572.847347021627, 18914.327244172662, 18943.44794370153, 18971.778257783855, 19073.561751048423, 19227.28045095782, 19568.484291272107, 19578.976472397677, 20136.467640641393, 20179.91747449897, 20260.762544842695, 20278.107487921527, 20498.091069737442, 20572.801768876925, 20756.742074692414, 20764.796600411508, 20781.482429729604, 20828.39367133604, 20921.15095270452, 21476.198819461304, 22228.97597476004, 22245.974735762342, 22614.16869998749, 22659.471886385054, 22773.628434803675, 23321.40407045729, 23522.66835797528, 23787.502901568172, 23866.702781497384, 24173.088308996576, 24520.659467730424, 24536.56782850442, 25512.674967124905, 25559.211406655148, 25577.764427470865, 89469.90611975166, 100911.20715224894, 135626.30482678727];Any[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6];Any[20, 20, 20, 21, 21, 21, 22, 22, 22, 23, 23, 24, 24, 24, 24, 25, 25, 25, 26, 26, 26, 26, 27, 27, 27, 27, 28, 28, 28, 28, 28, 29, 29, 30, 31, 31, 31, 32, 32, 32, 32, 32, 33, 34, 34, 34, 34, 34, 35, 35, 36, 36, 37, 38, 38, 38, 38, 38, 38, 39, 39, 39, 39, 39, 39, 40, 40, 40, 40, 40, 40, 40, 40, 41, 41, 41, 41, 41, 42, 42, 42, 43, 43, 43, 43, 44, 44, 44, 44, 44, 44, 44, 44, 44, 45, 45, 45, 45, 45, 45, 46, 46, 46, 46, 47, 47, 47, 48, 48, 48, 49, 49, 50, 50, 52, 53, 53, 53, 54, 54, 54, 54, 54, 55, 55, 55, 55, 56, 57, 57, 57, 57, 57, 57, 58, 60, 60, 60, 60, 61, 62, 63, 63, 63, 63, 64, 64, 64, 64, 64, 66, 67, 68, 69, 70, 71, 72, 73, 73, 75, 77, 77, 77, 79, 80, 82, 82, 83, 83, 84, 85, 86, 86, 87, 87, 88, 90, 90, 90, 91, 92, 92, 93, 94, 96, 96, 96, 97, 97, 97, 97, 98, 99, 99, 99, 99, 99, 100, 100, 100]
2;3.067083813314168e6;136;200;112;27;17;14;Any[1053.9812002813123, 5277.708221472921, 6085.550556823183, 6088.36245596341, 6441.845311140591, 6500.203428929762, 6773.329104801715, 6814.096004686459, 7309.654923810584, 7362.06121893164, 7775.985104730187, 8186.2008955919155, 8310.945228130571, 8381.401494069498, 8652.61348015165, 8698.27388710712, 9279.874897319518, 9309.214348081941, 9340.389467443361, 9440.990511404583, 9543.491317267659, 9544.089624738479, 9876.170141567422, 9889.99112959122, 9914.82131533242, 9941.771916563146, 10034.101511884186, 10149.165619502604, 10309.38581443967, 10526.734298181244, 10600.135716602239, 10796.925876429363, 10836.84245065111, 10892.493849779457, 11122.873009134177, 11195.401165632034, 11197.885897171762, 11285.974679980212, 11297.771109406145, 11331.709153557847, 11375.949140625482, 11434.845410296382, 11511.230141275963, 11523.068541728637, 11600.36243515142, 11695.676241561927, 11795.42888235013, 12163.915018472491, 12432.874429277887, 12682.914720492829, 12836.078007834221, 13154.94159693292, 13639.06584605985, 13649.462757969994, 13697.474142170724, 13751.81154081107, 13786.634357426241, 14229.277915033841, 14416.442660299088, 14540.384101657044, 14811.263117536528, 14851.133644978427, 14854.105608796712, 14951.603120889004, 15158.97084575047, 15289.229772228577, 15526.64991176971, 15750.89788705062, 16559.640105382437, 16880.825915266865, 16988.360748422234, 17710.71527787846, 18815.02956309523, 18853.459215856125, 19261.044993573087, 19937.553068868947, 20773.317736628425, 20782.27324846413, 21344.06519940471, 22090.46242792813, 22503.830338355016, 23121.629705014213, 23655.78357407182, 24179.51332093044, 24857.08327697057, 25415.798116537462, 26107.603966365936, 53902.72613499653, 72218.11682407264, 79917.5969655551, 89239.0146985847, 90288.10319585091, 90760.80670745923, 90853.89021665072, 91678.06219018613, 92003.68650401804, 92627.64495163754, 93833.29537700911, 94473.04044530304, 96822.47918642714, 98074.21634510654, 102216.78490469257, 103221.85878060602, 103875.59467583167, 104397.96293906898, 109597.20901059755, 111095.00542764254, 111889.43405541987, 113561.9232489539, 115950.02863680052, 117698.36595855805, 118331.1086280643, 118676.6220289462, 118967.13750846448, 121132.66474439715, 121572.00556289716, 126052.98992094737, 130356.23444819423, 134546.53962581223, 134551.53907502646, 137877.30858131018, 144670.1964607537, 153267.90034185155, 154493.62000763547, 159252.63534543733, 164849.5646609865, 167306.74850390473, 168108.406355299, 176868.04226942794, 177124.29348213543, 179268.85530451982, 182714.48059404205, 188395.0106334723, 197448.69360188657, 205408.9437050423, 210762.58487418512, 211393.0228692488, 213179.23779338822, 213409.97294837495, 213727.67330701815, 213837.89008056626, 214225.80168984487, 215218.84046530336, 216703.6165866848, 216704.9030798792, 217452.4510637673, 219477.0366980183, 219491.36734981448, 221643.21830908238, 224568.29583218702, 225136.14082416828, 233620.2928391001, 235837.08862871607, 235847.0870252459, 242395.63922812205, 244521.54647522498, 246415.85919571226, 249325.16734520433, 250731.62870600322, 259323.90036276777, 260356.30330764022, 266101.74428977905, 273399.6813365693, 273787.4040943364, 275453.98811559257, 277988.5257666338, 279987.5075467493, 282913.7736242148, 289112.54009964917, 291430.65317263536, 300961.6895233374, 301273.1005289704, 302022.1110618193, 302957.23148362624, 303230.62192501937, 323864.13616288966, 325680.7177783788, 330965.0672374841, 331106.2877518324, 346884.49477476574, 350747.2488661178, 350838.1455589762, 377137.74702757294, 385327.43735731946, 407108.5075013717, 408811.97491110716, 427407.11033031065, 447074.36935811344, 462138.31851982465, 464073.21830940834, 470107.34929835435, 472227.29884407343, 483816.1786746393, 499939.1676519923, 512680.63320382533, 518526.8993462098, 547372.4078778484, 571452.8044184569, 699704.0658410661, 742038.5995528164];Any[718.1168240726365, 877.0621901861341, 1053.9812002813123, 1125.028636800514, 4745.621925019385, 4977.644951637545, 5277.708221472921, 5479.167651992297, 5733.596965555105, 6085.550556823183, 6088.36245596341, 6183.295377009106, 6365.564660986493, 6441.845311140591, 6452.540099649157, 6457.7442897790315, 6500.203428929762, 6773.329104801715, 6806.858780606018, 6814.096004686459, 6823.040445303035, 7083.293482135436, 7309.654923810584, 7357.434055419877, 7362.06121893164, 7646.234448194233, 7775.985104730187, 7925.067237484113, 8032.98992094737, 8186.2008955919155, 8310.945228130571, 8381.401494069498, 8427.036698018277, 8441.367349814465, 8595.137508464486, 8652.61348015165, 8692.507501371703, 8698.27388710712, 8770.653172635328, 8818.100528970404, 8822.748503904739, 8892.943705042293, 9204.494774765742, 9279.874897319518, 9309.214348081941, 9340.389467443361, 9440.990511404583, 9543.491317267659, 9544.089624738479, 9567.11106181931, 9743.406355298983, 9876.170141567422, 9889.99112959122, 9914.82131533242, 9941.771916563146, 9996.903079879197, 10034.101511884186, 10133.988115592558, 10149.165619502604, 10207.923248953899, 10309.38581443967, 10362.726134996528, 10395.974911107169, 10461.178674639339, 10510.010633472297, 10526.734298181244, 10600.135716602239, 10666.747027572945, 10683.900362767772, 10702.407877848316, 10796.925876429363, 10836.84245065111, 10892.493849779457, 10903.689523337429, 10920.584874185117, 10931.539625812222, 11122.873009134177, 11195.401165632034, 11197.885897171762, 11200.005562897164, 11245.859195712243, 11285.974679980212, 11297.771109406145, 11311.622028946205, 11331.709153557847, 11375.949140625482, 11434.845410296382, 11511.230141275963, 11523.068541728637, 11600.36243515142, 11695.676241561927, 11722.673307018147, 11795.42888235013, 11817.218309408325, 11832.890080566252, 12163.915018472491, 12198.78490469257, 12432.874429277887, 12652.292839100095, 12667.900341851557, 12682.914720492829, 12727.088628716057, 12836.078007834221, 12899.231483626254, 12903.21830908239, 12977.196460753697, 13108.616586684797, 13154.94159693292, 13158.145558976226, 13195.022869248785, 13213.840465303352, 13558.69360188658, 13639.06584605985, 13649.462757969994, 13692.972948374954, 13697.474142170724, 13698.318519824677, 13751.81154081107, 13767.66474439714, 13786.634357426241, 13800.806707459224, 13893.620007635478, 14086.14082416828, 14229.277915033841, 14344.365958558054, 14352.110330310623, 14416.442660299088, 14540.384101657044, 14578.525766633791, 14811.263117536528, 14851.133644978427, 14854.105608796712, 14879.087025245914, 14951.603120889004, 14972.804418456868, 15158.97084575047, 15189.855304519826, 15289.229772228577, 15327.437357319463, 15526.64991176971, 15724.136162889681, 15750.89788705062, 15828.295832187025, 16156.30330764023, 16314.480594042043, 16559.640105382437, 16616.36935811344, 16753.89021665072, 16880.825915266865, 16988.360748422234, 17414.77362421483, 17540.71777837882, 17710.71527787846, 17722.681336569283, 18220.167345204347, 18652.635345437346, 18701.24886611777, 18741.479186427132, 18788.103195850905, 18814.065841066105, 18815.02956309523, 18853.459215856125, 18869.639228122058, 19235.005427642536, 19261.044993573087, 19699.216345106535, 19726.539075026474, 19937.553068868947, 20112.29884407344, 20273.237793388224, 20344.01469858469, 20503.686504018046, 20773.317736628425, 20782.27324846413, 20995.546475224994, 21201.594675831675, 21319.80168984488, 21344.06519940471, 21723.96293906898, 21857.349298354355, 22090.46242792813, 22497.20901059755, 22503.830338355016, 23121.629705014213, 23194.30858131017, 23231.628706003212, 23655.78357407182, 24179.51332093044, 24310.507546749297, 24546.451063767312, 24857.08327697057, 25299.042269427933, 25415.798116537462, 26107.603966365936, 26471.10862806431, 27061.5995528164, 90555.63320382535, 101743.40409433637, 132714.89934620977, 136669.28775183242];Any[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6];Any[20, 20, 20, 21, 21, 21, 22, 22, 22, 23, 23, 24, 24, 24, 24, 25, 25, 25, 26, 26, 26, 26, 27, 27, 27, 27, 28, 28, 28, 28, 28, 29, 29, 30, 31, 31, 31, 32, 32, 32, 32, 32, 33, 34, 34, 34, 34, 34, 35, 35, 36, 36, 37, 38, 38, 38, 38, 38, 38, 39, 39, 39, 39, 39, 39, 40, 40, 40, 40, 40, 40, 40, 40, 41, 41, 41, 41, 41, 42, 42, 42, 43, 43, 43, 43, 44, 44, 44, 44, 44, 44, 44, 44, 44, 45, 45, 45, 45, 45, 45, 46, 46, 46, 46, 47, 47, 47, 48, 48, 48, 49, 49, 50, 50, 52, 53, 53, 53, 54, 54, 54, 54, 54, 55, 55, 55, 55, 56, 57, 57, 57, 57, 57, 57, 58, 60, 60, 60, 60, 61, 62, 63, 63, 63, 63, 64, 64, 64, 64, 64, 66, 67, 68, 69, 70, 71, 72, 73, 73, 75, 77, 77, 77, 79, 80, 82, 82, 83, 83, 84, 85, 86, 86, 87, 87, 88, 90, 90, 90, 91, 92, 92, 93, 94, 96, 96, 96, 97, 97, 97, 97, 98, 99, 99, 99, 99, 99, 100, 100, 100]
